chemistry,method,representation,phase,n,accuracy
Li-La-Zr-O,RBF-SVM,Combined,LiOH_129,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,Zr2O_224,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,Zr3O_167,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,Zr3O_182,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,ZrO2_137,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,ZrO2_14,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,ZrO2_19,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,ZrO2_225,4,0.75
Li-La-Zr-O,RBF-SVM,Combined,ZrO2_61,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,ZrO2_62,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,ZrO_189,4,1.0
Li-La-Zr-O,RBF-SVM,Combined,ZrO_225,4,1.0
Li-Ti-P-O,Ridge,XRD,Li2CO3_15,3,1.0
Li-Ti-P-O,Ridge,XRD,Li2O_166,4,1.0
Li-Ti-P-O,Ridge,XRD,Li2O_225,2,1.0
Li-Ti-P-O,Ridge,XRD,Li2Ti2(PO4)3_60,3,1.0
Li-Ti-P-O,Ridge,XRD,Li2Ti3O7_11,2,1.0
Li-Ti-P-O,Ridge,XRD,Li2TiO3_15,3,1.0
Li-Ti-P-O,Ridge,XRD,Li3PO4_31,3,1.0
Li-Ti-P-O,Ridge,XRD,Li3PO4_62,3,1.0
Li-Ti-P-O,Ridge,XRD,Li3Ti4O8_3,1,1.0
Li-Ti-P-O,Ridge,XRD,Li4P2O7_14,3,0.6666666666666666
Li-Ti-P-O,Ridge,XRD,Li4P2O7_2,3,1.0
Li-Ti-P-O,Ridge,XRD,Li4P4O17_15,3,1.0
Li-Ti-P-O,Ridge,XRD,Li4Ti5O12_227,4,0.5
Li-Ti-P-O,Ridge,XRD,Li4TiO4_63,3,1.0
Li-Ti-P-O,Ridge,XRD,Li8PO3_221,3,1.0
Li-Ti-P-O,Ridge,XRD,LiOH-H2O_12,3,1.0
Li-Ti-P-O,Ridge,XRD,LiOH_129,3,1.0
Li-Ti-P-O,Ridge,XRD,LiPO3_13,3,1.0
Li-Ti-P-O,Ridge,XRD,LiPO3_14,3,1.0
Li-Ti-P-O,Ridge,XRD,LiPO4_146,2,1.0
Li-Ti-P-O,Ridge,XRD,LiP_14,3,1.0
Li-Ti-P-O,Ridge,XRD,LiTi2(PO4)3_167,2,1.0
Li-Ti-P-O,Ridge,XRD,LiTi2O4_11,2,0.5
Li-Ti-P-O,Ridge,XRD,LiTi2O4_12,2,1.0
Li-Ti-P-O,Ridge,XRD,LiTi2O4_227,3,1.0
Li-Ti-P-O,Ridge,XRD,LiTi2O4_31,3,1.0
Li-Ti-P-O,Ridge,XRD,LiTi2O4_58,2,1.0
Li-Ti-P-O,Ridge,XRD,LiTiO2_141,4,1.0
Li-Ti-P-O,Ridge,XRD,LiTiO2_227,3,0.3333333333333333
Li-Ti-P-O,Ridge,XRD,LiTiP2O7_4,3,1.0
Li-Ti-P-O,Ridge,XRD,LiTiPO5_2,4,1.0
Li-Ti-P-O,Ridge,XRD,LiTiPO5_62,3,0.6666666666666666
Li-Ti-P-O,Ridge,XRD,NH4H2PO4_122,3,1.0
Li-Ti-P-O,Ridge,XRD,P2O5_161,2,1.0
Li-Ti-P-O,Ridge,XRD,P2O5_43,3,0.6666666666666666
Li-Ti-P-O,Ridge,XRD,P2O5_62,2,1.0
Li-Ti-P-O,Ridge,XRD,Ti(PO3)3_9,2,1.0
Li-Ti-P-O,Ridge,XRD,Ti(PO5)2_4,3,1.0
Li-Ti-P-O,Ridge,XRD,Ti2P2O11_2,3,1.0
Li-Ti-P-O,Ridge,XRD,Ti2P2O9_2,2,1.0
Li-Ti-P-O,Ridge,XRD,Ti3PO2_164,3,1.0
Li-Ti-P-O,Ridge,XRD,Ti4(PO5)3_43,3,1.0
Li-Ti-P-O,Ridge,XRD,Ti5(PO5)4_19,3,1.0
Li-Ti-P-O,Ridge,XRD,TiO2_136,2,1.0
Li-Ti-P-O,Ridge,XRD,TiO2_141,2,1.0
Li-Ti-P-O,Ridge,XRD,TiP2O7_205,3,1.0
Li-Ti-P-O,Ridge,XRD,TiP2O9_14,3,1.0
Li-Ti-P-O,Ridge,XRD,TiP2_62,2,1.0
Li-Ti-P-O,Ridge,XRD,TiPO4_11,3,1.0
Li-Ti-P-O,Ridge,XRD,TiPO4_14,3,1.0
Li-Ti-P-O,Ridge,XRD,TiPO4_31,2,1.0
Li-Ti-P-O,Ridge,XRD,TiP_193,2,1.0
Li-Ti-P-O,Ridge,XRD,TiP_194,3,1.0
Li-Ti-P-O,Ridge,PDF,Li2CO3_15,3,1.0
Li-Ti-P-O,Ridge,PDF,Li2O_166,4,1.0
Li-Ti-P-O,Ridge,PDF,Li2O_225,2,1.0
Li-Ti-P-O,Ridge,PDF,Li2Ti2(PO4)3_60,3,1.0
Li-Ti-P-O,Ridge,PDF,Li2Ti3O7_11,2,1.0
Li-Ti-P-O,Ridge,PDF,Li2TiO3_15,3,1.0
Li-Ti-P-O,Ridge,PDF,Li3PO4_31,3,1.0
Li-Ti-P-O,Ridge,PDF,Li3PO4_62,3,1.0
Li-Ti-P-O,Ridge,PDF,Li3Ti4O8_3,1,1.0
Li-Ti-P-O,Ridge,PDF,Li4P2O7_14,3,1.0
Li-Ti-P-O,Ridge,PDF,Li4P2O7_2,3,1.0
Li-Ti-P-O,Ridge,PDF,Li4P4O17_15,3,1.0
Li-Ti-P-O,Ridge,PDF,Li4Ti5O12_227,4,0.25
Li-Ti-P-O,Ridge,PDF,Li4TiO4_63,3,1.0
Li-Ti-P-O,Ridge,PDF,Li8PO3_221,3,1.0
Li-Ti-P-O,Ridge,PDF,LiOH-H2O_12,3,1.0
Li-Ti-P-O,Ridge,PDF,LiOH_129,3,1.0
Li-Ti-P-O,Ridge,PDF,LiPO3_13,3,1.0
Li-Ti-P-O,Ridge,PDF,LiPO3_14,3,1.0
Li-Ti-P-O,Ridge,PDF,LiPO4_146,2,1.0
Li-Ti-P-O,Ridge,PDF,LiP_14,3,1.0
Li-Ti-P-O,Ridge,PDF,LiTi2(PO4)3_167,2,1.0
Li-Ti-P-O,Ridge,PDF,LiTi2O4_11,2,1.0
Li-Ti-P-O,Ridge,PDF,LiTi2O4_12,2,1.0
Li-Ti-P-O,Ridge,PDF,LiTi2O4_227,3,1.0
Li-Ti-P-O,Ridge,PDF,LiTi2O4_31,3,1.0
Li-Ti-P-O,Ridge,PDF,LiTi2O4_58,2,1.0
Li-Ti-P-O,Ridge,PDF,LiTiO2_141,4,1.0
Li-Ti-P-O,Ridge,PDF,LiTiO2_227,3,0.3333333333333333
Li-Ti-P-O,Ridge,PDF,LiTiP2O7_4,3,1.0
Li-Ti-P-O,Ridge,PDF,LiTiPO5_2,4,1.0
Li-Ti-P-O,Ridge,PDF,LiTiPO5_62,3,0.6666666666666666
Li-Ti-P-O,Ridge,PDF,NH4H2PO4_122,3,1.0
Li-Ti-P-O,Ridge,PDF,P2O5_161,2,1.0
Li-Ti-P-O,Ridge,PDF,P2O5_43,3,1.0
Li-Ti-P-O,Ridge,PDF,P2O5_62,2,1.0
Li-Ti-P-O,Ridge,PDF,Ti(PO3)3_9,2,1.0
Li-Ti-P-O,Ridge,PDF,Ti(PO5)2_4,3,1.0
Li-Ti-P-O,Ridge,PDF,Ti2P2O11_2,3,1.0
Li-Ti-P-O,Ridge,PDF,Ti2P2O9_2,2,1.0
Li-Ti-P-O,Ridge,PDF,Ti3PO2_164,3,1.0
Li-Ti-P-O,Ridge,PDF,Ti4(PO5)3_43,3,1.0
Li-Ti-P-O,Ridge,PDF,Ti5(PO5)4_19,3,1.0
Li-Ti-P-O,Ridge,PDF,TiO2_136,2,1.0
Li-Ti-P-O,Ridge,PDF,TiO2_141,2,1.0
Li-Ti-P-O,Ridge,PDF,TiP2O7_205,3,1.0
Li-Ti-P-O,Ridge,PDF,TiP2O9_14,3,1.0
Li-Ti-P-O,Ridge,PDF,TiP2_62,2,1.0
Li-Ti-P-O,Ridge,PDF,TiPO4_11,3,1.0
Li-Ti-P-O,Ridge,PDF,TiPO4_14,3,1.0
Li-Ti-P-O,Ridge,PDF,TiPO4_31,2,1.0
Li-Ti-P-O,Ridge,PDF,TiP_193,2,1.0
Li-Ti-P-O,Ridge,PDF,TiP_194,3,1.0
Li-Ti-P-O,Ridge,Combined,Li2CO3_15,3,1.0
Li-Ti-P-O,Ridge,Combined,Li2O_166,4,1.0
Li-Ti-P-O,Ridge,Combined,Li2O_225,2,1.0
Li-Ti-P-O,Ridge,Combined,Li2Ti2(PO4)3_60,3,1.0
Li-Ti-P-O,Ridge,Combined,Li2Ti3O7_11,2,1.0
Li-Ti-P-O,Ridge,Combined,Li2TiO3_15,3,1.0
Li-Ti-P-O,Ridge,Combined,Li3PO4_31,3,1.0
Li-Ti-P-O,Ridge,Combined,Li3PO4_62,3,1.0
Li-Ti-P-O,Ridge,Combined,Li3Ti4O8_3,1,1.0
Li-Ti-P-O,Ridge,Combined,Li4P2O7_14,3,1.0
Li-Ti-P-O,Ridge,Combined,Li4P2O7_2,3,1.0
Li-Ti-P-O,Ridge,Combined,Li4P4O17_15,3,1.0
Li-Ti-P-O,Ridge,Combined,Li4Ti5O12_227,4,0.25
Li-Ti-P-O,Ridge,Combined,Li4TiO4_63,3,1.0
Li-Ti-P-O,Ridge,Combined,Li8PO3_221,3,1.0
Li-Ti-P-O,Ridge,Combined,LiOH-H2O_12,3,1.0
Li-Ti-P-O,Ridge,Combined,LiOH_129,3,1.0
Li-Ti-P-O,Ridge,Combined,LiPO3_13,3,1.0
Li-Ti-P-O,Ridge,Combined,LiPO3_14,3,1.0
Li-Ti-P-O,Ridge,Combined,LiPO4_146,2,1.0
Li-Ti-P-O,Ridge,Combined,LiP_14,3,1.0
Li-Ti-P-O,Ridge,Combined,LiTi2(PO4)3_167,2,1.0
Li-Ti-P-O,Ridge,Combined,LiTi2O4_11,2,1.0
Li-Ti-P-O,Ridge,Combined,LiTi2O4_12,2,1.0
Li-Ti-P-O,Ridge,Combined,LiTi2O4_227,3,1.0
Li-Ti-P-O,Ridge,Combined,LiTi2O4_31,3,1.0
Li-Ti-P-O,Ridge,Combined,LiTi2O4_58,2,1.0
Li-Ti-P-O,Ridge,Combined,LiTiO2_141,4,1.0
Li-Ti-P-O,Ridge,Combined,LiTiO2_227,3,0.3333333333333333
Li-Ti-P-O,Ridge,Combined,LiTiP2O7_4,3,1.0
Li-Ti-P-O,Ridge,Combined,LiTiPO5_2,4,1.0
Li-Ti-P-O,Ridge,Combined,LiTiPO5_62,3,0.6666666666666666
Li-Ti-P-O,Ridge,Combined,NH4H2PO4_122,3,1.0
Li-Ti-P-O,Ridge,Combined,P2O5_161,2,1.0
Li-Ti-P-O,Ridge,Combined,P2O5_43,3,1.0
Li-Ti-P-O,Ridge,Combined,P2O5_62,2,1.0
Li-Ti-P-O,Ridge,Combined,Ti(PO3)3_9,2,1.0
Li-Ti-P-O,Ridge,Combined,Ti(PO5)2_4,3,1.0
Li-Ti-P-O,Ridge,Combined,Ti2P2O11_2,3,1.0
Li-Ti-P-O,Ridge,Combined,Ti2P2O9_2,2,1.0
Li-Ti-P-O,Ridge,Combined,Ti3PO2_164,3,1.0
Li-Ti-P-O,Ridge,Combined,Ti4(PO5)3_43,3,1.0
Li-Ti-P-O,Ridge,Combined,Ti5(PO5)4_19,3,1.0
Li-Ti-P-O,Ridge,Combined,TiO2_136,2,1.0
Li-Ti-P-O,Ridge,Combined,TiO2_141,2,1.0
Li-Ti-P-O,Ridge,Combined,TiP2O7_205,3,1.0
Li-Ti-P-O,Ridge,Combined,TiP2O9_14,3,1.0
Li-Ti-P-O,Ridge,Combined,TiP2_62,2,1.0
Li-Ti-P-O,Ridge,Combined,TiPO4_11,3,1.0
Li-Ti-P-O,Ridge,Combined,TiPO4_14,3,1.0
Li-Ti-P-O,Ridge,Combined,TiPO4_31,2,1.0
Li-Ti-P-O,Ridge,Combined,TiP_193,2,1.0
Li-Ti-P-O,Ridge,Combined,TiP_194,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,Li2CO3_15,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,Li2O_166,4,1.0
Li-Ti-P-O,RBF-SVM,XRD,Li2O_225,2,1.0
Li-Ti-P-O,RBF-SVM,XRD,Li2Ti2(PO4)3_60,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,Li2Ti3O7_11,2,1.0
Li-Ti-P-O,RBF-SVM,XRD,Li2TiO3_15,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,Li3PO4_31,3,0.6666666666666666
Li-Ti-P-O,RBF-SVM,XRD,Li3PO4_62,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,Li3Ti4O8_3,1,1.0
Li-Ti-P-O,RBF-SVM,XRD,Li4P2O7_14,3,0.6666666666666666
Li-Ti-P-O,RBF-SVM,XRD,Li4P2O7_2,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,Li4P4O17_15,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,Li4Ti5O12_227,4,0.5
Li-Ti-P-O,RBF-SVM,XRD,Li4TiO4_63,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,Li8PO3_221,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,LiOH-H2O_12,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,LiOH_129,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,LiPO3_13,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,LiPO3_14,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,LiPO4_146,2,1.0
Li-Ti-P-O,RBF-SVM,XRD,LiP_14,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,LiTi2(PO4)3_167,2,1.0
Li-Ti-P-O,RBF-SVM,XRD,LiTi2O4_11,2,0.5
Li-Ti-P-O,RBF-SVM,XRD,LiTi2O4_12,2,1.0
Li-Ti-P-O,RBF-SVM,XRD,LiTi2O4_227,3,0.6666666666666666
Li-Ti-P-O,RBF-SVM,XRD,LiTi2O4_31,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,LiTi2O4_58,2,0.5
Li-Ti-P-O,RBF-SVM,XRD,LiTiO2_141,4,1.0
Li-Ti-P-O,RBF-SVM,XRD,LiTiO2_227,3,0.3333333333333333
Li-Ti-P-O,RBF-SVM,XRD,LiTiP2O7_4,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,LiTiPO5_2,4,1.0
Li-Ti-P-O,RBF-SVM,XRD,LiTiPO5_62,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,NH4H2PO4_122,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,P2O5_161,2,1.0
Li-Ti-P-O,RBF-SVM,XRD,P2O5_43,3,0.6666666666666666
Li-Ti-P-O,RBF-SVM,XRD,P2O5_62,2,1.0
Li-Ti-P-O,RBF-SVM,XRD,Ti(PO3)3_9,2,1.0
Li-Ti-P-O,RBF-SVM,XRD,Ti(PO5)2_4,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,Ti2P2O11_2,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,Ti2P2O9_2,2,1.0
Li-Ti-P-O,RBF-SVM,XRD,Ti3PO2_164,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,Ti4(PO5)3_43,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,Ti5(PO5)4_19,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,TiO2_136,2,1.0
Li-Ti-P-O,RBF-SVM,XRD,TiO2_141,2,1.0
Li-Ti-P-O,RBF-SVM,XRD,TiP2O7_205,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,TiP2O9_14,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,TiP2_62,2,1.0
Li-Ti-P-O,RBF-SVM,XRD,TiPO4_11,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,TiPO4_14,3,1.0
Li-Ti-P-O,RBF-SVM,XRD,TiPO4_31,2,1.0
Li-Ti-P-O,RBF-SVM,XRD,TiP_193,2,1.0
Li-Ti-P-O,RBF-SVM,XRD,TiP_194,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,Li2CO3_15,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,Li2O_166,4,1.0
