material,ablation,fwhm_eV,shape_relative_L2,main_peak_delta_eV,site_correction_range_eV
005,equal_site_weights,0.5,1.6551382013740104e-16,0.0,0.6290715462000147
005,common_site_shift,1.0,0.0064656806599504195,0.0,0.6290715462000147
005,equal_site_weights,1.0,1.3622697913499617e-16,0.0,0.6290715462000147
006,common_site_shift,0.0,0.12018877243603618,0.03596772964056072,1.1925832620999754
006,equal_site_weights,0.0,2.723392650653415e-16,0.0,1.1925832620999754
006,common_site_shift,0.5,0.024813133763806873,0.014387091856406187,1.1925832620999754
006,equal_site_weights,0.5,4.765711402968189e-16,0.0,1.1925832620999754
006,common_site_shift,1.0,0.01675581391299873,0.0,1.1925832620999754
006,equal_site_weights,1.0,1.5322794143617337e-16,0.0,1.1925832620999754
007,common_site_shift,0.0,0.12894968080785232,0.021573249556240626,1.0071076689000167
007,equal_site_weights,0.0,2.750208256591873e-16,0.0,1.0071076689000167
007,common_site_shift,0.5,0.01773456874528701,0.007191083185716707,1.0071076689000167
007,equal_site_weights,0.5,1.5708351501328776e-16,0.0,1.0071076689000167
007,common_site_shift,1.0,0.012814853543004368,0.0,1.0071076689000167
007,equal_site_weights,1.0,1.4756228492992145e-16,0.0,1.0071076689000167
008,common_site_shift,0.0,0.11463010296888607,0.03596396343255037,1.134815207600008
008,equal_site_weights,0.0,2.8575636505009173e-16,0.0,1.134815207600008
008,common_site_shift,0.5,0.02653366030439626,0.014385585373020149,1.134815207600008
008,equal_site_weights,0.5,1.4608761263496869e-16,0.0,1.134815207600008
008,common_site_shift,1.0,0.015368237103631239,0.0,1.134815207600008
008,equal_site_weights,1.0,1.430776215031249e-16,0.0,1.134815207600008
009,common_site_shift,0.0,0.20789189403842598,0.007212009839804523,1.2625870994000197
009,equal_site_weights,0.0,3.159227579464242e-16,0.0,1.2625870994000197
009,common_site_shift,0.5,0.04637588721186962,0.028848039360127586,1.2625870994000197
009,equal_site_weights,0.5,1.5789471462062417e-16,0.0,1.2625870994000197
009,common_site_shift,1.0,0.01811945665823142,0.0,1.2625870994000197
009,equal_site_weights,1.0,1.421648219337465e-16,0.0,1.2625870994000197
010,common_site_shift,0.0,0.12365068944132133,0.0,0.9818127159000056
010,equal_site_weights,0.0,4.957494722903595e-16,0.0,0.9818127159000056
010,common_site_shift,0.5,0.02999013354322774,0.007152742609832785,0.9818127159000056
010,equal_site_weights,0.5,2.4240194992645326e-16,0.0,0.9818127159000056
010,common_site_shift,1.0,0.012820464792137751,-0.007152742609832785,0.9818127159000056
010,equal_site_weights,1.0,2.1228068468473763e-16,0.0,0.9818127159000056
011,common_site_shift,0.0,0.2554063844727823,0.10103998057047647,1.0056647978999962
011,equal_site_weights,0.0,4.955944502101517e-16,0.0,1.0056647978999962
011,common_site_shift,0.5,0.08682319698389919,0.021651424407991726,1.0056647978999962
011,equal_site_weights,0.5,1.3235207269733402e-16,0.0,1.0056647978999962
011,common_site_shift,1.0,0.027276480841228624,0.0,1.0056647978999962
011,equal_site_weights,1.0,2.424203115187779e-16,0.0,1.0056647978999962
012,common_site_shift,0.0,0.241386388137746,0.07185065702924476,0.794798328200037
012,equal_site_weights,0.0,2.566749179521058e-16,0.0,0.794798328200037
012,common_site_shift,0.5,0.08804536451615592,0.014370131405939901,0.794798328200037
012,equal_site_weights,0.5,1.2815263377658751e-16,0.0,0.794798328200037
012,common_site_shift,1.0,0.02831751648826956,0.0,0.794798328200037
012,equal_site_weights,1.0,1.263881840714983e-16,0.0,0.794798328200037
013,common_site_shift,0.0,0.3224581217226133,0.19515355640396592,1.2640565898000027
013,equal_site_weights,0.0,7.700234649752246e-16,0.0,1.2640565898000027
013,common_site_shift,0.5,0.132721611137883,0.06505118546783706,1.2640565898000027
013,equal_site_weights,0.5,1.4093243836053928e-16,0.0,1.2640565898000027
013,common_site_shift,1.0,0.05379591460505284,0.014455818993155845,1.2640565898000027
013,equal_site_weights,1.0,1.6202314005589178e-16,0.0,1.2640565898000027
014,common_site_shift,0.0,0.20725046345242215,0.07261766009105486,1.3512755955999758
014,equal_site_weights,0.0,6.20728550882055e-16,0.0,1.3512755955999758
014,common_site_shift,0.5,0.11582531444503213,-0.007261766008923587,1.3512755955999758
014,equal_site_weights,0.5,1.8292412712649785e-16,0.0,1.3512755955999758
014,common_site_shift,1.0,0.04351185728238709,-0.021785298027680255,1.3512755955999758
014,equal_site_weights,1.0,1.7209446703046465e-16,0.0,1.3512755955999758
015,common_site_shift,0.0,0.2570098946464885,0.0506070006176742,1.3576980878000828
015,equal_site_weights,0.0,2.796140005717801e-16,0.0,1.3576980878000828
015,common_site_shift,0.5,0.13052665089121998,0.02168871455023691,1.3576980878000828
015,equal_site_weights,0.5,1.39398830034304e-16,0.0,1.3576980878000828
015,common_site_shift,1.0,0.0553608852376938,0.0,1.3576980878000828
015,equal_site_weights,1.0,1.3287199563728253e-16,0.0,1.3576980878000828
016,common_site_shift,0.0,0.3515454056866978,0.08609933858724617,1.1600393433999683
016,equal_site_weights,0.0,4.37278640808875e-16,0.0,1.1600393433999683
016,common_site_shift,0.5,0.12592271141443043,0.050224614175476745,1.1600393433999683
016,equal_site_weights,0.5,1.787474694658863e-16,0.0,1.1600393433999683
016,common_site_shift,1.0,0.04944710463515218,0.007174944882081036,1.1600393433999683
016,equal_site_weights,1.0,1.3193988229477966e-16,0.0,1.1600393433999683
017,common_site_shift,0.0,0.23472191062230896,0.14462941681586017,1.46239159730011
017,equal_site_weights,0.0,5.139440916614462e-16,0.0,1.46239159730011
017,common_site_shift,0.5,0.10551730432120447,0.03615735420407873,1.46239159730011
017,equal_site_weights,0.5,2.1339795361870226e-16,0.0,1.46239159730011
017,common_site_shift,1.0,0.039479832140452545,0.0,1.46239159730011
017,equal_site_weights,1.0,1.6602786892693773e-16,0.0,1.46239159730011
018,common_site_shift,0.0,0.3729639038052081,0.03596190160033075,1.153938918099982
018,equal_site_weights,0.0,5.122660433067136e-16,0.0,1.153938918099982
018,common_site_shift,0.5,0.14551790818592875,0.0503466622403721,1.153938918099982
018,equal_site_weights,0.5,1.3974749747963064e-16,0.0,1.153938918099982
018,common_site_shift,1.0,0.05993265872357287,0.007192380319793301,1.153938918099982
018,equal_site_weights,1.0,1.2893097427049403e-16,0.0,1.153938918099982
019,common_site_shift,0.0,0.30685875525354966,0.03593979889956245,1.228914974800011
019,equal_site_weights,0.0,3.1714581843035987e-16,0.0,1.228914974800011
019,common_site_shift,0.5,0.13178797784779303,0.0,1.228914974800011
019,equal_site_weights,0.5,1.8563236416864707e-16,0.0,1.228914974800011
019,common_site_shift,1.0,0.044691711652234914,-0.014375919559824979,1.228914974800011
019,equal_site_weights,1.0,1.3276755902352079e-16,0.0,1.228914974800011
020,common_site_shift,0.0,0.17068076556329356,-0.021852003523690655,1.3973986620000707
020,equal_site_weights,0.0,2.6052157767193357e-16,0.0,1.3973986620000707
020,common_site_shift,0.5,0.10029064640040918,0.007284001174411969,1.3973986620000707
020,equal_site_weights,0.5,1.3872770096753867e-16,0.0,1.3973986620000707
020,common_site_shift,1.0,0.03817245596434508,-0.014568002348823939,1.3973986620000707
020,equal_site_weights,1.0,1.3572854541649578e-16,0.0,1.3973986620000707
021,common_site_shift,0.0,0.6568499352038507,-0.1641963745846624,1.1160824476000517
021,equal_site_weights,0.0,4.499813224119358e-16,0.0,1.1160824476000517
021,common_site_shift,0.5,0.3380006088191737,-0.05970777257653026,1.1160824476000517
021,equal_site_weights,0.5,1.9270729323524642e-16,0.0,1.1160824476000517
021,common_site_shift,1.0,0.10819263560303606,0.007463471572009439,1.1160824476000517
021,equal_site_weights,1.0,1.3906099123977432e-16,0.0,1.1160824476000517
022,common_site_shift,0.0,0.27271803654968446,0.07234859084155687,1.0588764053000173
022,equal_site_weights,0.0,2.8480489380720836e-16,0.0,1.0588764053000173
022,common_site_shift,0.5,0.11894744623848943,-0.028939436336713698,1.0588764053000173
022,equal_site_weights,0.5,1.5409732786355093e-16,0.0,1.0588764053000173
022,common_site_shift,1.0,0.040728617834635154,-0.021704577252421586,1.0588764053000173
022,equal_site_weights,1.0,1.3653526986791543e-16,0.0,1.0588764053000173
023,common_site_shift,0.0,0.23646054601472188,0.1467879087485926,1.9639897244000455
023,equal_site_weights,0.0,4.2067777187452286e-16,0.0,1.9639897244000455
023,common_site_shift,0.5,0.12591394611983592,0.030902717631306587,1.9639897244000455
023,equal_site_weights,0.5,1.6875227300495787e-16,0.0,1.9639897244000455
023,common_site_shift,1.0,0.08574472428196084,-0.0077256794079403335,1.9639897244000455
023,equal_site_weights,1.0,2.341023428073715e-16,0.0,1.9639897244000455
024,common_site_shift,0.0,0.19237493070863465,0.09401846399350688,1.0496966378999497
024,equal_site_weights,0.0,2.7548292903492325e-16,0.0,1.0496966378999497
024,common_site_shift,0.5,0.09136675692940185,0.007232189537717204,1.0496966378999497
024,equal_site_weights,0.5,1.7480103574779743e-16,0.0,1.0496966378999497
024,common_site_shift,1.0,0.029779851612091825,-0.007232189537717204,1.0496966378999497
024,equal_site_weights,1.0,2.037699804177343e-16,0.0,1.0496966378999497
025,common_site_shift,0.0,0.487237625447905,0.09460517464276563,1.2057553848999705
025,equal_site_weights,0.0,3.153004008651834e-16,0.0,1.2057553848999705
025,common_site_shift,0.5,0.2502203602760617,0.1091598168954988,1.2057553848999705
025,equal_site_weights,0.5,1.3212249633596019e-16,0.0,1.2057553848999705
025,common_site_shift,1.0,0.12550966005365047,0.02183196337909976,1.2057553848999705
025,equal_site_weights,1.0,2.844260436561427e-16,0.0,1.2057553848999705
026,common_site_shift,0.0,0.4477707676070984,0.03676757396897301,1.3616980981999465
026,equal_site_weights,0.0,2.8652795090795313e-16,0.0,1.3616980981999465
026,common_site_shift,0.5,0.26709178882725054,0.014707029587498255,1.3616980981999465
026,equal_site_weights,0.5,1.3723433828077466e-16,0.0,1.3616980981999465
026,common_site_shift,1.0,0.11243543206279208,-0.02941405917499651,1.3616980981999465
026,equal_site_weights,1.0,1.2638616857033904e-16,0.0,1.3616980981999465
027,common_site_shift,0.0,0.3110969065919394,-0.022111319210125657,1.519259387800009
027,equal_site_weights,0.0,3.2900521098869083e-16,0.0,1.519259387800009
027,common_site_shift,0.5,0.2289984471547032,0.05896351789306209,1.519259387800009
027,equal_site_weights,0.5,1.4217664797246574e-16,0.0,1.519259387800009
027,common_site_shift,1.0,0.13030244131957391,-0.014740879473265522,1.519259387800009
027,equal_site_weights,1.0,2.3057283579366334e-16,0.0,1.519259387800009
028,common_site_shift,0.0,0.3520769787088557,0.06620890719023009,1.3466059388000673
028,equal_site_weights,0.0,4.2701702869602853e-16,0.0,1.3466059388000673
028,common_site_shift,0.5,0.1476327762901421,0.05149581670320913,1.3466059388000673
028,equal_site_weights,0.5,1.3084269361646654e-16,0.0,1.3466059388000673
028,common_site_shift,1.0,0.07750006188933953,0.014713090487020963,1.3466059388000673
028,equal_site_weights,1.0,1.8210133974862715e-16,0.0,1.3466059388000673
029,common_site_shift,0.0,0.3340994650820936,0.07495239339505133,1.849460181500021
029,equal_site_weights,0.0,2.585340675485367e-16,0.0,1.849460181500021
029,common_site_shift,0.5,0.15765170571621157,0.07495239339459658,1.849460181500021
029,equal_site_weights,0.5,1.3788634162081482e-16,0.0,1.849460181500021
029,common_site_shift,1.0,0.0992438846840713,0.014990478679010266,1.849460181500021
029,equal_site_weights,1.0,1.750330405245916e-16,0.0,1.849460181500021
030,common_site_shift,0.0,0.28152059334494417,0.20611622199066915,2.144268173999974
030,equal_site_weights,0.0,2.4680694014264703e-16,0.0,2.144268173999974
030,common_site_shift,0.5,0.15265491092321135,0.09160720977388337,2.144268173999974
030,equal_site_weights,0.5,1.2962226321760676e-16,0.0,2.144268173999974
030,common_site_shift,1.0,0.09638511640487304,0.01526786829572302,2.144268173999974
030,equal_site_weights,1.0,1.9286092460459294e-16,0.0,2.144268173999974
031,common_site_shift,0.0,0.5611643754830886,0.2682418262884312,2.698316859200018
031,equal_site_weights,0.0,2.591503719237519e-16,0.0,2.698316859200018
031,common_site_shift,0.5,0.35363748557203356,0.19160130449154167,2.698316859200018
031,equal_site_weights,0.5,1.9126178732864578e-16,0.0,2.698316859200018
031,common_site_shift,1.0,0.2225408646454028,0.061312417436965916,2.698316859200018
031,equal_site_weights,1.0,1.5462154780136323e-16,0.0,2.698316859200018
032,common_site_shift,0.0,0.5380848299877001,0.4179466353771204,2.669517808799993
032,equal_site_weights,0.0,2.568815615564034e-16,0.0,2.669517808799993
032,common_site_shift,0.5,0.35676247696536634,0.18575406016771012,2.669517808799993
032,equal_site_weights,0.5,1.9385896967742471e-16,0.0,2.669517808799993
032,common_site_shift,1.0,0.23015595172220615,0.061918020056054957,2.669517808799993
032,equal_site_weights,1.0,1.399733830018433e-16,0.0,2.669517808799993
033,common_site_shift,0.0,0.5379222417973407,0.26101679215207696,2.2240848425000097
033,equal_site_weights,0.0,3.0993674739458857e-16,0.0,2.2240848425000097
033,common_site_shift,0.5,0.34460206335629795,0.19192411187623293,2.2240848425000097
033,equal_site_weights,0.5,1.934351887482521e-16,0.0,2.2240848425000097
033,common_site_shift,1.0,0.2505836801417904,0.05373875132499961,2.2240848425000097
033,equal_site_weights,1.0,1.5682493803943053e-16,0.0,2.2240848425000097
034,common_site_shift,0.0,0.41936574562940165,0.07084966662023362,2.4854585836999865
034,equal_site_weights,0.0,2.4388278805360974e-16,0.0,2.4854585836999865
034,common_site_shift,0.5,0.1646342436577721,0.133827148059936,2.4854585836999865
034,equal_site_weights,0.5,1.517776995128585e-16,0.0,2.4854585836999865
034,common_site_shift,1.0,0.10662269270789956,0.047233111080004164,2.4854585836999865
034,equal_site_weights,1.0,1.4240968866318047e-16,0.0,2.4854585836999865
035,common_site_shift,0.0,0.36403044162971127,0.1104623086553147,1.1931066014999754
035,equal_site_weights,0.0,1.9434793987775924e-16,0.0,1.1931066014999754
035,common_site_shift,0.5,0.19663816863841602,0.06627738519318882,1.1931066014999754
035,equal_site_weights,0.5,3.031768555264282e-16,0.0,1.1931066014999754
035,common_site_shift,1.0,0.10016606865406603,0.01472830782086021,1.1931066014999754
035,equal_site_weights,1.0,1.1708204519179242e-16,0.0,1.1931066014999754
036,common_site_shift,0.0,0.5967900583129363,0.11695821823423103,1.423576243699996
036,equal_site_weights,0.0,2.3215662634874717e-16,0.0,1.423576243699996
036,common_site_shift,0.5,0.3383154457227012,0.10964832959462001,1.423576243699996
036,equal_site_weights,0.5,2.1397313073983368e-16,0.0,1.423576243699996
036,common_site_shift,1.0,0.17267309261911953,-0.014619777279222035,1.423576243699996
036,equal_site_weights,1.0,1.4736247012986984e-16,0.0,1.423576243699996
037,common_site_shift,0.0,0.44924360758514154,-0.3214207694340985,1.487823846799988
037,equal_site_weights,0.0,2.168639057595544e-16,0.0,1.487823846799988
037,common_site_shift,0.5,0.2340457217259649,-0.3363705726637818,1.487823846799988
037,equal_site_weights,0.5,1.2685998342965755e-16,0.0,1.487823846799988
037,common_site_shift,1.0,0.1499407764121272,-0.13454822906578556,1.487823846799988
037,equal_site_weights,1.0,1.22022352769204e-16,0.0,1.487823846799988
038,common_site_shift,0.0,0.47344112300613383,-0.31433999867658713,1.497585775699977
038,equal_site_weights,0.0,2.2488658871989797e-16,0.0,1.497585775699977
038,common_site_shift,0.5,0.2370189571034115,-0.32182428435953625,1.497585775699977
038,equal_site_weights,0.5,1.9151068885902822e-16,0.0,1.497585775699977
038,common_site_shift,1.0,0.15823892664270253,-0.24698142753140928,1.497585775699977
038,equal_site_weights,1.0,1.217197681780824e-16,0.0,1.497585775699977
039,common_site_shift,0.0,0.355574498033176,-0.21368135051807258,1.2518882476999682
039,equal_site_weights,0.0,2.370750298947747e-16,0.0,1.2518882476999682
039,common_site_shift,0.5,0.19581345256788185,-0.2578912851081441,1.2518882476999682
039,equal_site_weights,0.5,1.707478142615768e-16,0.0,1.2518882476999682
039,common_site_shift,1.0,0.13319366765106416,-0.23578631781310833,1.2518882476999682
039,equal_site_weights,1.0,1.2986610313980807e-16,0.0,1.2518882476999682
040,common_site_shift,0.0,0.35407640097637244,-0.20897349871347615,1.5842593864999923
040,equal_site_weights,0.0,4.927610162835886e-16,0.0,1.5842593864999923
040,common_site_shift,0.5,0.17500870854437145,-0.22390017719317257,1.5842593864999923
040,equal_site_weights,0.5,1.4314300118476268e-16,0.0,1.5842593864999923
040,common_site_shift,1.0,0.09281957797429342,4.224250009708612,1.5842593864999923
040,equal_site_weights,1.0,2.1536230858631365e-16,0.0,1.5842593864999923
041,common_site_shift,0.0,0.4201228147598535,-0.34575058901646116,2.338823082099977
041,equal_site_weights,0.0,2.0341667719522301e-16,0.0,2.338823082099977
041,common_site_shift,0.5,0.2480725255135811,-0.3457505890160064,2.338823082099977
041,equal_site_weights,0.5,1.3294785080388628e-16,0.0,2.338823082099977
041,common_site_shift,1.0,0.13609626805896502,-0.3688006282841343,2.338823082099977
041,equal_site_weights,1.0,1.922418300292477e-16,0.0,2.338823082099977
042,common_site_shift,0.0,0.3076689287979038,-0.08384209921041474,2.1426088293999577
042,equal_site_weights,0.0,1.7368344324659203e-16,0.0,2.1426088293999577
042,common_site_shift,0.5,0.16573331097658933,-0.16768419842037474,2.1426088293999577
042,equal_site_weights,0.5,2.266118430687646e-16,0.0,2.1426088293999577
042,common_site_shift,1.0,0.09968018302293412,-0.23628227959261494,2.1426088293999577
042,equal_site_weights,1.0,1.4102213892588522e-16,0.0,2.1426088293999577
043,common_site_shift,0.0,0.3076387587164673,0.023013436257315334,2.496886177000028
043,equal_site_weights,0.0,1.6019999307324626e-16,0.0,2.496886177000028
043,common_site_shift,0.5,0.16244110259637567,-0.11506718128703142,2.496886177000028
043,equal_site_weights,0.5,1.1497206911433886e-16,0.0,2.496886177000028
043,common_site_shift,1.0,0.09456818462128466,-0.19944978089824872,2.496886177000028
043,equal_site_weights,1.0,1.1718806387765844e-16,0.0,2.496886177000028
044,common_site_shift,0.0,0.3471400747238843,-0.36484133901012683,1.4097836237999974
044,equal_site_weights,0.0,0.09215407088585986,-0.007445741612627899,1.4097836237999974
044,common_site_shift,0.5,0.10745392288373083,-0.14891483224937474,1.4097836237999974
044,equal_site_weights,0.5,0.05149118346864847,-0.029782966450056847,1.4097836237999974
044,common_site_shift,1.0,0.05446560798351247,-0.01489148322480105,1.4097836237999974
044,equal_site_weights,1.0,0.024301980638606373,-0.0297829664496021,1.4097836237999974
045,common_site_shift,0.0,0.4281562959784876,0.115918771629822,1.1309052380999827
045,equal_site_weights,0.0,3.780527182770937e-16,0.0,1.1309052380999827
045,common_site_shift,0.5,0.19175628494599742,0.057959385815138376,1.1309052380999827
045,equal_site_weights,0.5,1.4472293768598372e-16,0.0,1.1309052380999827
045,common_site_shift,1.0,0.08246479056282857,0.00724492322660808,1.1309052380999827
045,equal_site_weights,1.0,1.5361238284976163e-16,0.0,1.1309052380999827
046,common_site_shift,0.0,0.4369015742963691,0.10829006531730556,0.9038526681000008
046,equal_site_weights,0.0,2.5814188658291675e-16,0.0,0.9038526681000008
046,common_site_shift,0.5,0.21319047952303433,0.06497403919047429,0.9038526681000008
046,equal_site_weights,0.5,2.0302733865262139e-16,0.0,0.9038526681000008
046,common_site_shift,1.0,0.09126638435545345,0.0,0.9038526681000008
046,equal_site_weights,1.0,2.625648349857712e-16,0.0,0.9038526681000008
047,common_site_shift,0.0,0.32437705305261944,-0.40236522233726646,1.3084617094999826
047,equal_site_weights,0.0,0.10706094475986348,-0.06706087038946862,1.3084617094999826
047,common_site_shift,0.5,0.10349519795693707,-0.28314589720002914,1.3084617094999826
047,equal_site_weights,0.5,0.03163629139481842,0.02980483128430933,1.3084617094999826
047,common_site_shift,1.0,0.04955966536593114,-0.11921932513678257,1.3084617094999826
047,equal_site_weights,1.0,0.020400041133511473,0.007451207821304706,1.3084617094999826
048,common_site_shift,0.0,0.17353373721635088,0.007122889523543563,0.07557193480007562
048,equal_site_weights,0.0,2.788181128558137e-16,0.0,0.07557193480007562
048,common_site_shift,0.5,0.007209861380677865,0.0,0.07557193480007562
048,equal_site_weights,0.5,1.3765418032250994e-16,0.0,0.07557193480007562
048,common_site_shift,1.0,0.003244491085016801,0.0,0.07557193480007562
048,equal_site_weights,1.0,1.85323821115148e-16,0.0,0.07557193480007562
049,common_site_shift,0.0,0.38629311284729306,-0.1901081103060278,0.7700478900999999
049,equal_site_weights,0.0,1.510710658301155e-16,0.0,0.7700478900999999
049,common_site_shift,0.5,0.1124455316694127,0.06580665356750615,0.7700478900999999
049,equal_site_weights,0.5,1.1431388210236896e-16,0.0,0.7700478900999999
049,common_site_shift,1.0,0.06836090916395962,0.014623700792526506,0.7700478900999999
049,equal_site_weights,1.0,1.2912791461041645e-16,0.0,0.7700478900999999
050,common_site_shift,0.0,0.0,0.0,0.0
050,equal_site_weights,0.0,0.0,0.0,0.0
050,common_site_shift,0.5,0.0,0.0,0.0
050,equal_site_weights,0.5,0.0,0.0,0.0
050,common_site_shift,1.0,0.0,0.0,0.0
050,equal_site_weights,1.0,0.0,0.0,0.0
051,common_site_shift,0.0,0.0,0.0,0.0
051,equal_site_weights,0.0,0.0,0.0,0.0
051,common_site_shift,0.5,0.0,0.0,0.0
051,equal_site_weights,0.5,0.0,0.0,0.0
051,common_site_shift,1.0,0.0,0.0,0.0
051,equal_site_weights,1.0,0.0,0.0,0.0
052,common_site_shift,0.0,0.00827516189413828,0.0,0.01112669450000503
052,equal_site_weights,0.0,1.6522719264671557e-16,0.0,0.01112669450000503
052,common_site_shift,0.5,0.00045720963746661463,0.0,0.01112669450000503
052,equal_site_weights,0.5,1.0779486931773247e-16,0.0,0.01112669450000503
052,common_site_shift,1.0,0.00015893813254413896,0.0,0.01112669450000503
052,equal_site_weights,1.0,1.1954918609971129e-16,0.0,0.01112669450000503
053,common_site_shift,0.0,0.020546865879614032,0.007155373727073311,0.009821726999978075
053,equal_site_weights,0.0,0.04898438277675012,0.0,0.009821726999978075
053,common_site_shift,0.5,0.0007118132981199194,0.0,0.009821726999978075
053,equal_site_weights,0.5,0.017253412750752713,0.0,0.009821726999978075
053,common_site_shift,1.0,0.00014769060568145312,0.0,0.009821726999978075
053,equal_site_weights,1.0,0.010087979131895118,0.0,0.009821726999978075
054,common_site_shift,0.0,0.2220791978613451,0.022262521083575848,1.122965938799977
054,equal_site_weights,0.0,2.7306500615035403e-16,0.0,1.122965938799977
054,common_site_shift,0.5,0.17195587935655432,0.037104201805505,1.122965938799977
054,equal_site_weights,0.5,1.1471422335626532e-16,0.0,1.122965938799977
054,common_site_shift,1.0,0.10897041783099756,-0.0445250421662422,1.122965938799977
054,equal_site_weights,1.0,1.1022272430764446e-16,0.0,1.122965938799977
055,common_site_shift,0.0,0.21389730512657137,0.11898442722804248,1.2514362280999878
055,equal_site_weights,0.0,2.1653740056475027e-16,0.0,1.2514362280999878
055,common_site_shift,0.5,0.11850183740908816,0.03718263350856432,1.2514362280999878
055,equal_site_weights,0.5,1.5513242949540004e-16,0.0,1.2514362280999878
055,common_site_shift,1.0,0.09254340027036002,-0.029746106807124306,1.2514362280999878
055,equal_site_weights,1.0,1.840963258590579e-16,0.0,1.2514362280999878
056,common_site_shift,0.0,0.5251917835475196,-0.6748992194598031,1.2619794904998933
056,equal_site_weights,0.0,0.064735163744786,0.0,1.2619794904998933
056,common_site_shift,0.5,0.36411915374201687,-0.6897321693381855,1.2619794904998933
056,equal_site_weights,0.5,0.05087285132348856,0.0,1.2619794904998933
056,common_site_shift,1.0,0.2108016148040531,-0.4598214462253054,1.2619794904998933
056,equal_site_weights,1.0,0.030308905854260604,0.029665899756764702,1.2619794904998933
057,common_site_shift,0.0,0.22651872034489423,0.014247184019041015,0.09660467940004391
057,equal_site_weights,0.0,0.12380862458656026,-0.00712359200906576,0.09660467940004391
057,common_site_shift,0.5,0.011706336651753127,0.0,0.09660467940004391
057,equal_site_weights,0.5,0.025349735394158208,0.0,0.09660467940004391
057,common_site_shift,1.0,0.005043664659200399,0.0,0.09660467940004391
057,equal_site_weights,1.0,0.020173914371643044,0.007123592009520507,0.09660467940004391
058,common_site_shift,0.0,0.2397035010375006,0.021410896642009902,0.10086954759991329
058,equal_site_weights,0.0,0.1276271905880546,0.0,0.10086954759991329
058,common_site_shift,0.5,0.012794333204833266,0.0,0.10086954759991329
058,equal_site_weights,0.5,0.025606386850612242,0.0071369655474882165,0.10086954759991329
058,common_site_shift,1.0,0.005468027332908645,0.0,0.10086954759991329
058,equal_site_weights,1.0,0.02022052899121239,0.0071369655474882165,0.10086954759991329
059,common_site_shift,0.0,0.3520007243109624,-0.3380074807778328,1.9292581430000064
059,equal_site_weights,0.0,0.14502209905227456,-0.01536397639893039,1.9292581430000064
059,common_site_shift,0.5,0.16855641156438575,-0.2688695869824187,1.9292581430000064
059,equal_site_weights,0.5,0.04455410997639329,0.007681988199692569,1.9292581430000064
059,common_site_shift,1.0,0.07911396775339258,-0.03840994099755335,1.9292581430000064
059,equal_site_weights,1.0,0.057281621576184695,-0.13059379939159044,1.9292581430000064
060,common_site_shift,0.0,0.053036141732963386,0.0,0.03612406379998756
060,equal_site_weights,0.0,0.04183366132402088,0.0,0.03612406379998756
060,common_site_shift,0.5,0.0033035590557546324,0.0,0.03612406379998756
060,equal_site_weights,0.5,0.02119553906254683,0.007112498190963379,0.03612406379998756
060,common_site_shift,1.0,0.0013219542255240926,0.0,0.03612406379998756
060,equal_site_weights,1.0,0.016637481963420596,0.007112498190963379,0.03612406379998756
061,common_site_shift,0.0,0.09443734347083245,0.007122123141471093,0.06421099220006532
061,equal_site_weights,0.0,0.05331614340589182,0.007122123141471093,0.06421099220006532
