run_id,true_coordination,predicted_coordination,count
V_coord_identified_material_r1_s113_pointwise,4,5,3
V_coord_identified_material_r1_s113_pointwise,4,6,0
V_coord_identified_material_r1_s113_pointwise,5,4,19
V_coord_identified_material_r1_s113_pointwise,5,5,237
V_coord_identified_material_r1_s113_pointwise,5,6,33
V_coord_identified_material_r1_s113_pointwise,6,4,1
V_coord_identified_material_r1_s113_pointwise,6,5,53
V_coord_identified_material_r1_s113_pointwise,6,6,248
V_coord_identified_material_r1_s113_multiscale,4,4,263
V_coord_identified_material_r1_s113_multiscale,4,5,4
V_coord_identified_material_r1_s113_multiscale,4,6,1
V_coord_identified_material_r1_s113_multiscale,5,4,13
V_coord_identified_material_r1_s113_multiscale,5,5,233
V_coord_identified_material_r1_s113_multiscale,5,6,43
V_coord_identified_material_r1_s113_multiscale,6,4,1
V_coord_identified_material_r1_s113_multiscale,6,5,59
V_coord_identified_material_r1_s113_multiscale,6,6,242
Cr_coord_identified_material_r0_s113_pointwise,4,4,66
Cr_coord_identified_material_r0_s113_pointwise,4,5,1
Cr_coord_identified_material_r0_s113_pointwise,4,6,0
Cr_coord_identified_material_r0_s113_pointwise,5,4,2
Cr_coord_identified_material_r0_s113_pointwise,5,5,46
Cr_coord_identified_material_r0_s113_pointwise,5,6,19
Cr_coord_identified_material_r0_s113_pointwise,6,4,0
Cr_coord_identified_material_r0_s113_pointwise,6,5,7
Cr_coord_identified_material_r0_s113_pointwise,6,6,100
Cr_coord_identified_material_r0_s113_multiscale,4,4,67
Cr_coord_identified_material_r0_s113_multiscale,4,5,0
Cr_coord_identified_material_r0_s113_multiscale,4,6,0
Cr_coord_identified_material_r0_s113_multiscale,5,4,2
Cr_coord_identified_material_r0_s113_multiscale,5,5,42
Cr_coord_identified_material_r0_s113_multiscale,5,6,23
Cr_coord_identified_material_r0_s113_multiscale,6,4,0
Cr_coord_identified_material_r0_s113_multiscale,6,5,9
Cr_coord_identified_material_r0_s113_multiscale,6,6,98
Cr_coord_identified_material_r1_s113_pointwise,4,4,57
Cr_coord_identified_material_r1_s113_pointwise,4,5,5
Cr_coord_identified_material_r1_s113_pointwise,4,6,0
Cr_coord_identified_material_r1_s113_pointwise,5,4,4
Cr_coord_identified_material_r1_s113_pointwise,5,5,31
Cr_coord_identified_material_r1_s113_pointwise,5,6,12
Cr_coord_identified_material_r1_s113_pointwise,6,4,0
Cr_coord_identified_material_r1_s113_pointwise,6,5,6
Cr_coord_identified_material_r1_s113_pointwise,6,6,117
Cr_coord_identified_material_r1_s113_multiscale,4,4,57
Cr_coord_identified_material_r1_s113_multiscale,4,5,5
Cr_coord_identified_material_r1_s113_multiscale,4,6,0
Cr_coord_identified_material_r1_s113_multiscale,5,4,4
Cr_coord_identified_material_r1_s113_multiscale,5,5,29
Cr_coord_identified_material_r1_s113_multiscale,5,6,14
Cr_coord_identified_material_r1_s113_multiscale,6,4,0
Cr_coord_identified_material_r1_s113_multiscale,6,5,5
Cr_coord_identified_material_r1_s113_multiscale,6,6,118
Mn_coord_identified_material_r0_s113_pointwise,4,4,11
Mn_coord_identified_material_r0_s113_pointwise,4,5,15
Mn_coord_identified_material_r0_s113_pointwise,4,6,1
Mn_coord_identified_material_r0_s113_pointwise,5,4,2
Mn_coord_identified_material_r0_s113_pointwise,5,5,454
Mn_coord_identified_material_r0_s113_pointwise,5,6,63
Mn_coord_identified_material_r0_s113_pointwise,6,4,0
Mn_coord_identified_material_r0_s113_pointwise,6,5,86
Mn_coord_identified_material_r0_s113_pointwise,6,6,254
Mn_coord_identified_material_r0_s113_multiscale,4,4,11
Mn_coord_identified_material_r0_s113_multiscale,4,5,15
Mn_coord_identified_material_r0_s113_multiscale,4,6,1
Mn_coord_identified_material_r0_s113_multiscale,5,4,0
Mn_coord_identified_material_r0_s113_multiscale,5,5,459
Mn_coord_identified_material_r0_s113_multiscale,5,6,60
Mn_coord_identified_material_r0_s113_multiscale,6,4,0
Mn_coord_identified_material_r0_s113_multiscale,6,5,98
Mn_coord_identified_material_r0_s113_multiscale,6,6,242
Mn_coord_identified_material_r1_s113_pointwise,4,4,15
Mn_coord_identified_material_r1_s113_pointwise,4,5,12
Mn_coord_identified_material_r1_s113_pointwise,4,6,0
Mn_coord_identified_material_r1_s113_pointwise,5,4,1
Mn_coord_identified_material_r1_s113_pointwise,5,5,467
Mn_coord_identified_material_r1_s113_pointwise,5,6,53
Mn_coord_identified_material_r1_s113_pointwise,6,4,1
Mn_coord_identified_material_r1_s113_pointwise,6,5,100
Mn_coord_identified_material_r1_s113_pointwise,6,6,288
Mn_coord_identified_material_r1_s113_multiscale,4,4,15
Mn_coord_identified_material_r1_s113_multiscale,4,5,11
Mn_coord_identified_material_r1_s113_multiscale,4,6,1
Mn_coord_identified_material_r1_s113_multiscale,5,4,0
Mn_coord_identified_material_r1_s113_multiscale,5,5,460
Mn_coord_identified_material_r1_s113_multiscale,5,6,61
Mn_coord_identified_material_r1_s113_multiscale,6,4,0
Mn_coord_identified_material_r1_s113_multiscale,6,5,95
Mn_coord_identified_material_r1_s113_multiscale,6,6,294
Fe_coord_identified_material_r0_s113_pointwise,4,4,87
Fe_coord_identified_material_r0_s113_pointwise,4,5,26
Fe_coord_identified_material_r0_s113_pointwise,4,6,0
Fe_coord_identified_material_r0_s113_pointwise,5,4,23
Fe_coord_identified_material_r0_s113_pointwise,5,5,342
Fe_coord_identified_material_r0_s113_pointwise,5,6,61
Fe_coord_identified_material_r0_s113_pointwise,6,4,0
Fe_coord_identified_material_r0_s113_pointwise,6,5,44
Fe_coord_identified_material_r0_s113_pointwise,6,6,221
Fe_coord_identified_material_r0_s113_multiscale,4,4,87
Fe_coord_identified_material_r0_s113_multiscale,4,5,26
Fe_coord_identified_material_r0_s113_multiscale,4,6,0
Fe_coord_identified_material_r0_s113_multiscale,5,4,22
Fe_coord_identified_material_r0_s113_multiscale,5,5,351
Fe_coord_identified_material_r0_s113_multiscale,5,6,53
Fe_coord_identified_material_r0_s113_multiscale,6,4,1
Fe_coord_identified_material_r0_s113_multiscale,6,5,45
Fe_coord_identified_material_r0_s113_multiscale,6,6,219
Fe_coord_identified_material_r1_s113_pointwise,4,4,78
Fe_coord_identified_material_r1_s113_pointwise,4,5,20
Fe_coord_identified_material_r1_s113_pointwise,4,6,0
Fe_coord_identified_material_r1_s113_pointwise,5,4,20
Fe_coord_identified_material_r1_s113_pointwise,5,5,400
Fe_coord_identified_material_r1_s113_pointwise,5,6,42
Fe_coord_identified_material_r1_s113_pointwise,6,4,1
Fe_coord_identified_material_r1_s113_pointwise,6,5,62
Fe_coord_identified_material_r1_s113_pointwise,6,6,222
Fe_coord_identified_material_r1_s113_multiscale,4,4,74
Fe_coord_identified_material_r1_s113_multiscale,4,5,24
Fe_coord_identified_material_r1_s113_multiscale,4,6,0
Fe_coord_identified_material_r1_s113_multiscale,5,4,21
Fe_coord_identified_material_r1_s113_multiscale,5,5,402
Fe_coord_identified_material_r1_s113_multiscale,5,6,39
Fe_coord_identified_material_r1_s113_multiscale,6,4,2
Fe_coord_identified_material_r1_s113_multiscale,6,5,67
Fe_coord_identified_material_r1_s113_multiscale,6,6,216
Co_coord_identified_material_r0_s113_pointwise,4,4,47
Co_coord_identified_material_r0_s113_pointwise,4,5,6
Co_coord_identified_material_r0_s113_pointwise,4,6,0
Co_coord_identified_material_r0_s113_pointwise,5,4,19
Co_coord_identified_material_r0_s113_pointwise,5,5,94
Co_coord_identified_material_r0_s113_pointwise,5,6,35
Co_coord_identified_material_r0_s113_pointwise,6,4,1
Co_coord_identified_material_r0_s113_pointwise,6,5,22
Co_coord_identified_material_r0_s113_pointwise,6,6,225
Co_coord_identified_material_r0_s113_multiscale,4,4,48
Co_coord_identified_material_r0_s113_multiscale,4,5,5
Co_coord_identified_material_r0_s113_multiscale,4,6,0
Co_coord_identified_material_r0_s113_multiscale,5,4,18
Co_coord_identified_material_r0_s113_multiscale,5,5,95
Co_coord_identified_material_r0_s113_multiscale,5,6,35
Co_coord_identified_material_r0_s113_multiscale,6,4,1
Co_coord_identified_material_r0_s113_multiscale,6,5,19
Co_coord_identified_material_r0_s113_multiscale,6,6,228
Co_coord_identified_material_r1_s113_pointwise,4,4,81
Co_coord_identified_material_r1_s113_pointwise,4,5,12
Co_coord_identified_material_r1_s113_pointwise,4,6,0
Co_coord_identified_material_r1_s113_pointwise,5,4,16
Co_coord_identified_material_r1_s113_pointwise,5,5,87
Co_coord_identified_material_r1_s113_pointwise,5,6,34
Co_coord_identified_material_r1_s113_pointwise,6,4,1
Co_coord_identified_material_r1_s113_pointwise,6,5,20
Co_coord_identified_material_r1_s113_pointwise,6,6,234
Co_coord_identified_material_r1_s113_multiscale,4,4,77
Co_coord_identified_material_r1_s113_multiscale,4,5,15
Co_coord_identified_material_r1_s113_multiscale,4,6,1
Co_coord_identified_material_r1_s113_multiscale,5,4,16
Co_coord_identified_material_r1_s113_multiscale,5,5,78
Co_coord_identified_material_r1_s113_multiscale,5,6,43
Co_coord_identified_material_r1_s113_multiscale,6,4,1
Co_coord_identified_material_r1_s113_multiscale,6,5,19
Co_coord_identified_material_r1_s113_multiscale,6,6,235
Ni_coord_identified_material_r0_s113_pointwise,4,4,22
Ni_coord_identified_material_r0_s113_pointwise,4,5,7
Ni_coord_identified_material_r0_s113_pointwise,4,6,1
Ni_coord_identified_material_r0_s113_pointwise,5,4,5
Ni_coord_identified_material_r0_s113_pointwise,5,5,84
Ni_coord_identified_material_r0_s113_pointwise,5,6,25
Ni_coord_identified_material_r0_s113_pointwise,6,4,0
Ni_coord_identified_material_r0_s113_pointwise,6,5,23
Ni_coord_identified_material_r0_s113_pointwise,6,6,237
Ni_coord_identified_material_r0_s113_multiscale,4,4,24
Ni_coord_identified_material_r0_s113_multiscale,4,5,5
Ni_coord_identified_material_r0_s113_multiscale,4,6,1
Ni_coord_identified_material_r0_s113_multiscale,5,4,5
Ni_coord_identified_material_r0_s113_multiscale,5,5,82
Ni_coord_identified_material_r0_s113_multiscale,5,6,27
Ni_coord_identified_material_r0_s113_multiscale,6,4,0
Ni_coord_identified_material_r0_s113_multiscale,6,5,24
Ni_coord_identified_material_r0_s113_multiscale,6,6,236
Ni_coord_identified_material_r1_s113_pointwise,4,4,17
Ni_coord_identified_material_r1_s113_pointwise,4,5,17
Ni_coord_identified_material_r1_s113_pointwise,4,6,0
Ni_coord_identified_material_r1_s113_pointwise,5,4,4
Ni_coord_identified_material_r1_s113_pointwise,5,5,100
Ni_coord_identified_material_r1_s113_pointwise,5,6,29
Ni_coord_identified_material_r1_s113_pointwise,6,4,0
Ni_coord_identified_material_r1_s113_pointwise,6,5,28
Ni_coord_identified_material_r1_s113_pointwise,6,6,246
Ni_coord_identified_material_r1_s113_multiscale,4,4,19
Ni_coord_identified_material_r1_s113_multiscale,4,5,15
Ni_coord_identified_material_r1_s113_multiscale,4,6,0
Ni_coord_identified_material_r1_s113_multiscale,5,4,2
Ni_coord_identified_material_r1_s113_multiscale,5,5,98
Ni_coord_identified_material_r1_s113_multiscale,5,6,33
Ni_coord_identified_material_r1_s113_multiscale,6,4,0
Ni_coord_identified_material_r1_s113_multiscale,6,5,26
Ni_coord_identified_material_r1_s113_multiscale,6,6,248
Cu_coord_identified_material_r0_s113_pointwise,4,4,29
Cu_coord_identified_material_r0_s113_pointwise,4,5,19
Cu_coord_identified_material_r0_s113_pointwise,4,6,0
Cu_coord_identified_material_r0_s113_pointwise,5,4,6
Cu_coord_identified_material_r0_s113_pointwise,5,5,292
Cu_coord_identified_material_r0_s113_pointwise,5,6,4
Cu_coord_identified_material_r0_s113_pointwise,6,4,0
Cu_coord_identified_material_r0_s113_pointwise,6,5,16
Cu_coord_identified_material_r0_s113_pointwise,6,6,38
Cu_coord_identified_material_r0_s113_multiscale,4,4,28
Cu_coord_identified_material_r0_s113_multiscale,4,5,20
Cu_coord_identified_material_r0_s113_multiscale,4,6,0
Cu_coord_identified_material_r0_s113_multiscale,5,4,6
Cu_coord_identified_material_r0_s113_multiscale,5,5,293
Cu_coord_identified_material_r0_s113_multiscale,5,6,3
Cu_coord_identified_material_r0_s113_multiscale,6,4,0
Cu_coord_identified_material_r0_s113_multiscale,6,5,13
Cu_coord_identified_material_r0_s113_multiscale,6,6,41
Cu_coord_identified_material_r1_s113_pointwise,4,4,31
Cu_coord_identified_material_r1_s113_pointwise,4,5,36
Cu_coord_identified_material_r1_s113_pointwise,4,6,0
Cu_coord_identified_material_r1_s113_pointwise,5,4,6
Cu_coord_identified_material_r1_s113_pointwise,5,5,252
Cu_coord_identified_material_r1_s113_pointwise,5,6,9
Cu_coord_identified_material_r1_s113_pointwise,6,4,0
Cu_coord_identified_material_r1_s113_pointwise,6,5,15
Cu_coord_identified_material_r1_s113_pointwise,6,6,56
Cu_coord_identified_material_r1_s113_multiscale,4,4,35
Cu_coord_identified_material_r1_s113_multiscale,4,5,32
Cu_coord_identified_material_r1_s113_multiscale,4,6,0
Cu_coord_identified_material_r1_s113_multiscale,5,4,4
Cu_coord_identified_material_r1_s113_multiscale,5,5,253
Cu_coord_identified_material_r1_s113_multiscale,5,6,10
Cu_coord_identified_material_r1_s113_multiscale,6,4,0
Cu_coord_identified_material_r1_s113_multiscale,6,5,17
Cu_coord_identified_material_r1_s113_multiscale,6,6,54
