spectrum_id,mp_id
spectrum_0100,mp-1104173
spectrum_0101,mp-1104198
spectrum_0102,mp-1104488
spectrum_0103,mp-1104535
spectrum_0104,mp-1104542
spectrum_0105,mp-1104732
spectrum_0106,mp-1104755
spectrum_0107,mp-1104843
spectrum_0108,mp-1104990
spectrum_0109,mp-1105109
spectrum_0110,mp-1105161
spectrum_0111,mp-1105163
spectrum_0112,mp-1105220
spectrum_0113,mp-1105229
spectrum_0114,mp-1105256
spectrum_0115,mp-1105298
spectrum_0116,mp-1105463
spectrum_0117,mp-1105650
spectrum_0118,mp-1105845
spectrum_0119,mp-11638
spectrum_0120,mp-11760
spectrum_0121,mp-11771
spectrum_0122,mp-1178771
spectrum_0123,mp-11791
spectrum_0124,mp-1180676
spectrum_0125,mp-1181578
spectrum_0126,mp-1181628
spectrum_0127,mp-1181656
spectrum_0128,mp-1181705
spectrum_0129,mp-1181826
spectrum_0130,mp-1182273
spectrum_0131,mp-1182304
spectrum_0132,mp-1182677
spectrum_0133,mp-1182885
spectrum_0134,mp-11833
spectrum_0135,mp-11882
spectrum_0136,mp-1188223
spectrum_0137,mp-1188402
spectrum_0138,mp-1188558
spectrum_0139,mp-1188561
spectrum_0140,mp-1188600
spectrum_0141,mp-1188802
spectrum_0142,mp-1188871
spectrum_0143,mp-1189056
spectrum_0144,mp-1189352
spectrum_0145,mp-1189362
spectrum_0146,mp-1189416
spectrum_0147,mp-1189555
spectrum_0148,mp-1189666
spectrum_0149,mp-1189755
spectrum_0150,mp-1190022
spectrum_0151,mp-1190137
spectrum_0152,mp-1190173
spectrum_0153,mp-1190393
spectrum_0154,mp-1190440
spectrum_0155,mp-1190474
spectrum_0156,mp-1190573
spectrum_0157,mp-1190630
spectrum_0158,mp-1190666
spectrum_0159,mp-1190783
spectrum_0160,mp-1190785
spectrum_0161,mp-1190990
spectrum_0162,mp-1191076
spectrum_0163,mp-1191086
spectrum_0164,mp-1191092
spectrum_0165,mp-1191148
spectrum_0166,mp-1191238
spectrum_0167,mp-1191323
spectrum_0168,mp-1191350
spectrum_0169,mp-1191383
spectrum_0170,mp-1191497
spectrum_0171,mp-1191505
spectrum_0172,mp-1191650
spectrum_0173,mp-1191679
spectrum_0174,mp-1191912
spectrum_0175,mp-1191913
spectrum_0176,mp-1192124
spectrum_0177,mp-1192205
spectrum_0178,mp-1192264
spectrum_0179,mp-1192275
spectrum_0180,mp-1192282
spectrum_0181,mp-1192355
spectrum_0182,mp-1192472
spectrum_0183,mp-1192531
spectrum_0184,mp-1192555
spectrum_0185,mp-1192625
spectrum_0186,mp-1192713
spectrum_0187,mp-1192779
spectrum_0188,mp-1192806
spectrum_0189,mp-1192807
spectrum_0190,mp-1192830
spectrum_0191,mp-1192934
spectrum_0192,mp-1192989
spectrum_0193,mp-1193079
spectrum_0194,mp-1193217
spectrum_0195,mp-1193249
spectrum_0196,mp-1193268
spectrum_0197,mp-1193439
spectrum_0198,mp-1193512
spectrum_0199,mp-1193540
spectrum_0200,mp-1193551
spectrum_0201,mp-1193617
spectrum_0202,mp-1193632
spectrum_0203,mp-1193701
spectrum_0204,mp-1193718
spectrum_0205,mp-1193752
spectrum_0206,mp-1193941
spectrum_0207,mp-1194041
spectrum_0208,mp-1194267
spectrum_0209,mp-1194283
spectrum_0210,mp-1194436
spectrum_0211,mp-1194694
spectrum_0212,mp-1194708
spectrum_0213,mp-1194779
spectrum_0214,mp-1194948
spectrum_0215,mp-1194983
spectrum_0216,mp-1195036
spectrum_0217,mp-1195153
spectrum_0218,mp-1195165
spectrum_0219,mp-1195300
spectrum_0220,mp-1195498
spectrum_0221,mp-1195739
spectrum_0222,mp-1195928
spectrum_0223,mp-1196031
spectrum_0224,mp-1196039
spectrum_0225,mp-1196135
spectrum_0226,mp-1196166
spectrum_0227,mp-1196185
spectrum_0228,mp-1196187
spectrum_0229,mp-1196314
spectrum_0230,mp-1196322
spectrum_0231,mp-1196376
spectrum_0232,mp-1196587
spectrum_0233,mp-1196599
spectrum_0234,mp-1196682
spectrum_0235,mp-1196726
spectrum_0236,mp-1197183
spectrum_0237,mp-1197302
spectrum_0238,mp-1197502
spectrum_0239,mp-1197546
spectrum_0240,mp-1197678
spectrum_0241,mp-1197738
spectrum_0242,mp-1197753
spectrum_0243,mp-1197779
spectrum_0244,mp-1197914
spectrum_0245,mp-1197943
spectrum_0246,mp-1198006
spectrum_0247,mp-1198047
spectrum_0248,mp-1198264
spectrum_0249,mp-1198265
spectrum_0250,mp-1198405
spectrum_0251,mp-1198524
spectrum_0252,mp-1198701
spectrum_0253,mp-1198809
spectrum_0254,mp-1198838
spectrum_0255,mp-1198851
spectrum_0256,mp-1198901
spectrum_0257,mp-1199050
spectrum_0258,mp-1199099
spectrum_0259,mp-1199182
spectrum_0260,mp-1199298
spectrum_0261,mp-1199313
spectrum_0262,mp-1199396
spectrum_0263,mp-1199484
spectrum_0264,mp-1199734
spectrum_0265,mp-1199822
spectrum_0266,mp-1199882
spectrum_0267,mp-1199970
spectrum_0268,mp-1199983
spectrum_0269,mp-1200069
spectrum_0270,mp-1200133
spectrum_0271,mp-1200177
spectrum_0272,mp-1200279
spectrum_0273,mp-1200315
spectrum_0274,mp-1200529
spectrum_0275,mp-1200663
spectrum_0276,mp-1200668
spectrum_0277,mp-1200769
spectrum_0278,mp-1200772
spectrum_0279,mp-1200812
spectrum_0280,mp-1200865
spectrum_0281,mp-1201135
spectrum_0282,mp-1201149
spectrum_0283,mp-1201234
spectrum_0284,mp-1201317
spectrum_0285,mp-1201389
spectrum_0286,mp-1201390
spectrum_0287,mp-1201409
spectrum_0288,mp-1201607
spectrum_0289,mp-1201655
spectrum_0290,mp-1201664
spectrum_0291,mp-1201761
spectrum_0292,mp-1201766
spectrum_0293,mp-1201854
spectrum_0294,mp-1202064
spectrum_0295,mp-1202099
spectrum_0296,mp-1202152
spectrum_0297,mp-1202250
spectrum_0298,mp-1202347
spectrum_0299,mp-1202466
spectrum_0300,mp-1202524
spectrum_0301,mp-1202570
spectrum_0302,mp-1202588
spectrum_0303,mp-1202646
spectrum_0304,mp-1202851
spectrum_0305,mp-1203110
spectrum_0306,mp-1203192
spectrum_0307,mp-1203611
spectrum_0308,mp-1203696
spectrum_0309,mp-1203708
spectrum_0310,mp-1203872
spectrum_0311,mp-1203931
spectrum_0312,mp-1203941
spectrum_0313,mp-1204058
spectrum_0314,mp-1204064
spectrum_0315,mp-1204374
spectrum_0316,mp-1204438
spectrum_0317,mp-1204474
spectrum_0318,mp-1204573
spectrum_0319,mp-1204584
spectrum_0320,mp-1204591
spectrum_0321,mp-1204931
spectrum_0322,mp-1205239
spectrum_0323,mp-1205250
spectrum_0324,mp-1205359
spectrum_0325,mp-12087
spectrum_0326,mp-12118
spectrum_0327,mp-12145
spectrum_0328,mp-12161
spectrum_0329,mp-12185
spectrum_0330,mp-12268
spectrum_0331,mp-1232413
spectrum_0332,mp-1233
spectrum_0333,mp-1238498
spectrum_0334,mp-1239022
spectrum_0335,mp-1239037
spectrum_0336,mp-12457
spectrum_0337,mp-12546
spectrum_0338,mp-12586
spectrum_0339,mp-12777
spectrum_0340,mp-12794
spectrum_0341,mp-12801
spectrum_0342,mp-12854
spectrum_0343,mp-13045
spectrum_0344,mp-13089
spectrum_0345,mp-13138
spectrum_0346,mp-13287
spectrum_0347,mp-13480
spectrum_0348,mp-13486
spectrum_0349,mp-13589
spectrum_0350,mp-14089
spectrum_0351,mp-14735
spectrum_0352,mp-14824
spectrum_0353,mp-14862
spectrum_0354,mp-15252
spectrum_0355,mp-15335
spectrum_0356,mp-15336
spectrum_0357,mp-15481
spectrum_0358,mp-15895
spectrum_0359,mp-15900
spectrum_0360,mp-16056
spectrum_0361,mp-16115
spectrum_0362,mp-16179
spectrum_0363,mp-16320
spectrum_0364,mp-16366
spectrum_0365,mp-16435
spectrum_0366,mp-16494
spectrum_0367,mp-16496
spectrum_0368,mp-16565
spectrum_0369,mp-16775
spectrum_0370,mp-17119
spectrum_0371,mp-17145
spectrum_0372,mp-17194
spectrum_0373,mp-17262
spectrum_0374,mp-17268
spectrum_0375,mp-17336
spectrum_0376,mp-17388
spectrum_0377,mp-17598
spectrum_0378,mp-17687
spectrum_0379,mp-17691
spectrum_0380,mp-17699
spectrum_0381,mp-17738
spectrum_0382,mp-17801
spectrum_0383,mp-17878
spectrum_0384,mp-17916
spectrum_0385,mp-18124
spectrum_0386,mp-18126
spectrum_0387,mp-18279
spectrum_0388,mp-18444
spectrum_0389,mp-18490
spectrum_0390,mp-18540
spectrum_0391,mp-18576
spectrum_0392,mp-1861
spectrum_0393,mp-18637
spectrum_0394,mp-18713
spectrum_0395,mp-1945
spectrum_0396,mp-1966
spectrum_0397,mp-19735
spectrum_0398,mp-19834
spectrum_0399,mp-19946
spectrum_0400,mp-19968
spectrum_0401,mp-19983
spectrum_0402,mp-2002
spectrum_0403,mp-20083
spectrum_0404,mp-20087
spectrum_0405,mp-20140
spectrum_0406,mp-20203
spectrum_0407,mp-20212
spectrum_0408,mp-20307
spectrum_0409,mp-20324
spectrum_0410,mp-20370
spectrum_0411,mp-20437
spectrum_0412,mp-20476
spectrum_0413,mp-20491
spectrum_0414,mp-20977
spectrum_0415,mp-2103
spectrum_0416,mp-21141
spectrum_0417,mp-21148
spectrum_0418,mp-21360
spectrum_0419,mp-21376
spectrum_0420,mp-21388
spectrum_0421,mp-21458
spectrum_0422,mp-21475
spectrum_0423,mp-21500
spectrum_0424,mp-21560
spectrum_0425,mp-21568
spectrum_0426,mp-21617
spectrum_0427,mp-21684
spectrum_0428,mp-21708
spectrum_0429,mp-21827
spectrum_0430,mp-21861
spectrum_0431,mp-21865
spectrum_0432,mp-21868
spectrum_0433,mp-21964
spectrum_0434,mp-22037
spectrum_0435,mp-2210
spectrum_0436,mp-22196
spectrum_0437,mp-22215
spectrum_0438,mp-22221
spectrum_0439,mp-22237
spectrum_0440,mp-22271
spectrum_0441,mp-22297
spectrum_0442,mp-22301
spectrum_0443,mp-22305
spectrum_0444,mp-22392
spectrum_0445,mp-22407
spectrum_0446,mp-22414
spectrum_0447,mp-22550
spectrum_0448,mp-22601
spectrum_0449,mp-22673
spectrum_0450,mp-22680
spectrum_0451,mp-22685
spectrum_0452,mp-22719
spectrum_0453,mp-22761
spectrum_0454,mp-22810
spectrum_0455,mp-22863
spectrum_0456,mp-22914
spectrum_0457,mp-22917
spectrum_0458,mp-22941
spectrum_0459,mp-22960
spectrum_0460,mp-23095
spectrum_0461,mp-23133
spectrum_0462,mp-23212
spectrum_0463,mp-23227
spectrum_0464,mp-2323
spectrum_0465,mp-23508
spectrum_0466,mp-23733
spectrum_0467,mp-23795
spectrum_0468,mp-23857
spectrum_0469,mp-24038
spectrum_0470,mp-24093
spectrum_0471,mp-24103
spectrum_0472,mp-24164
spectrum_0473,mp-24197
spectrum_0474,mp-24228
spectrum_0475,mp-24559
spectrum_0476,mp-27124
spectrum_0477,mp-27249
spectrum_0478,mp-27548
spectrum_0479,mp-27550
spectrum_0480,mp-27589
spectrum_0481,mp-27719
spectrum_0482,mp-28317
spectrum_0483,mp-28491
spectrum_0484,mp-28656
spectrum_0485,mp-28743
spectrum_0486,mp-2882
spectrum_0487,mp-2918
spectrum_0488,mp-29225
spectrum_0489,mp-29450
spectrum_0490,mp-29476
spectrum_0491,mp-29507
spectrum_0492,mp-29643
spectrum_0493,mp-2977
spectrum_0494,mp-29823
spectrum_0495,mp-29828
spectrum_0496,mp-30449
spectrum_0497,mp-30450
spectrum_0498,mp-30451
spectrum_0499,mp-30471
spectrum_0500,mp-30504
spectrum_0501,mp-30578
spectrum_0502,mp-30582
spectrum_0503,mp-30583
spectrum_0504,mp-30589
spectrum_0505,mp-30590
spectrum_0506,mp-30593
spectrum_0507,mp-30594
spectrum_0508,mp-30597
spectrum_0509,mp-30599
spectrum_0510,mp-30603
spectrum_0511,mp-30696
spectrum_0512,mp-30698
spectrum_0513,mp-30699
spectrum_0514,mp-31145
spectrum_0515,mp-3120
spectrum_0516,mp-31510
spectrum_0517,mp-3179
spectrum_0518,mp-3255
spectrum_0519,mp-3421
spectrum_0520,mp-3648
spectrum_0521,mp-36480
spectrum_0522,mp-3702
spectrum_0523,mp-3736
spectrum_0524,mp-4158
spectrum_0525,mp-4210
spectrum_0526,mp-4320
spectrum_0527,mp-4367
spectrum_0528,mp-4473
spectrum_0529,mp-4552
spectrum_0530,mp-4643
spectrum_0531,mp-4647
spectrum_0532,mp-4711
spectrum_0533,mp-4826
spectrum_0534,mp-488
spectrum_0535,mp-504
spectrum_0536,mp-504536
spectrum_0537,mp-504580
spectrum_0538,mp-504711
spectrum_0539,mp-504862
spectrum_0540,mp-504927
spectrum_0541,mp-504978
spectrum_0542,mp-505105
spectrum_0543,mp-505131
spectrum_0544,mp-505151
spectrum_0545,mp-505194
spectrum_0546,mp-505215
spectrum_0547,mp-505268
spectrum_0548,mp-505310
spectrum_0549,mp-505404
spectrum_0550,mp-505421
spectrum_0551,mp-505576
spectrum_0552,mp-505589
spectrum_0553,mp-505611
spectrum_0554,mp-505785
spectrum_0555,mp-505804
spectrum_0556,mp-505811
spectrum_0557,mp-510056
spectrum_0558,mp-510148
spectrum_0559,mp-510292
spectrum_0560,mp-510539
spectrum_0561,mp-510570
spectrum_0562,mp-510608
spectrum_0563,mp-510642
spectrum_0564,mp-510657
spectrum_0565,mp-5169
spectrum_0566,mp-5178
spectrum_0567,mp-540665
spectrum_0568,mp-540812
spectrum_0569,mp-540858
spectrum_0570,mp-540999
spectrum_0571,mp-541087
spectrum_0572,mp-541136
spectrum_0573,mp-541147
spectrum_0574,mp-541324
spectrum_0575,mp-541330
spectrum_0576,mp-541332
spectrum_0577,mp-541622
spectrum_0578,mp-541923
spectrum_0579,mp-541991
spectrum_0580,mp-542176
spectrum_0581,mp-542197
spectrum_0582,mp-542426
spectrum_0583,mp-5425
spectrum_0584,mp-542750
spectrum_0585,mp-542806
spectrum_0586,mp-542807
spectrum_0587,mp-542934
spectrum_0588,mp-542944
spectrum_0589,mp-545369
spectrum_0590,mp-546449
spectrum_0591,mp-546790
spectrum_0592,mp-551135
spectrum_0593,mp-551219
spectrum_0594,mp-552089
spectrum_0595,mp-554075
spectrum_0596,mp-554117
spectrum_0597,mp-554120
spectrum_0598,mp-554177
spectrum_0599,mp-554184
spectrum_0600,mp-554200
spectrum_0601,mp-554272
spectrum_0602,mp-554298
spectrum_0603,mp-554335
spectrum_0604,mp-554343
spectrum_0605,mp-554352
spectrum_0606,mp-554419
spectrum_0607,mp-554440
spectrum_0608,mp-554511
spectrum_0609,mp-554562
spectrum_0610,mp-5546
spectrum_0611,mp-554627
spectrum_0612,mp-554781
spectrum_0613,mp-554812
spectrum_0614,mp-554874
spectrum_0615,mp-555093
spectrum_0616,mp-555139
spectrum_0617,mp-555369
spectrum_0618,mp-555515
spectrum_0619,mp-555519
spectrum_0620,mp-555570
spectrum_0621,mp-555729
spectrum_0622,mp-555827
spectrum_0623,mp-555856
spectrum_0624,mp-555937
spectrum_0625,mp-555984
spectrum_0626,mp-556002
spectrum_0627,mp-556036
spectrum_0628,mp-556045
spectrum_0629,mp-556238
spectrum_0630,mp-556402
spectrum_0631,mp-556575
spectrum_0632,mp-556582
spectrum_0633,mp-556590
spectrum_0634,mp-556604
spectrum_0635,mp-556635
spectrum_0636,mp-556640
spectrum_0637,mp-556714
spectrum_0638,mp-556733
spectrum_0639,mp-556753
spectrum_0640,mp-556755
spectrum_0641,mp-556822
spectrum_0642,mp-556926
spectrum_0643,mp-557084
spectrum_0644,mp-557123
spectrum_0645,mp-557136
spectrum_0646,mp-557249
spectrum_0647,mp-557274
spectrum_0648,mp-557339
spectrum_0649,mp-557341
spectrum_0650,mp-557373
spectrum_0651,mp-557510
spectrum_0652,mp-557552
spectrum_0653,mp-557929
spectrum_0654,mp-557936
spectrum_0655,mp-557980
spectrum_0656,mp-558144
spectrum_0657,mp-558338
spectrum_0658,mp-558364
spectrum_0659,mp-558472
spectrum_0660,mp-558486
spectrum_0661,mp-558696
spectrum_0662,mp-559094
spectrum_0663,mp-559209
spectrum_0664,mp-559307
spectrum_0665,mp-559415
spectrum_0666,mp-560100
spectrum_0667,mp-560165
spectrum_0668,mp-560273
spectrum_0669,mp-560285
spectrum_0670,mp-560291
spectrum_0671,mp-560345
spectrum_0672,mp-560368
spectrum_0673,mp-560533
spectrum_0674,mp-560776
spectrum_0675,mp-560805
spectrum_0676,mp-561012
spectrum_0677,mp-561081
spectrum_0678,mp-561308
spectrum_0679,mp-562090
spectrum_0680,mp-565843
spectrum_0681,mp-566937
spectrum_0682,mp-567201
spectrum_0683,mp-567366
spectrum_0684,mp-567840
spectrum_0685,mp-567932
spectrum_0686,mp-568224
spectrum_0687,mp-568315
spectrum_0688,mp-568354
spectrum_0689,mp-568495
spectrum_0690,mp-568497
spectrum_0691,mp-568524
spectrum_0692,mp-568532
spectrum_0693,mp-568598
spectrum_0694,mp-568816
spectrum_0695,mp-569292
spectrum_0696,mp-569339
spectrum_0697,mp-569526
spectrum_0698,mp-5696
spectrum_0699,mp-569687
spectrum_0700,mp-569691
spectrum_0701,mp-569715
spectrum_0702,mp-569834
spectrum_0703,mp-570393
spectrum_0704,mp-570702
spectrum_0705,mp-570765
spectrum_0706,mp-571034
spectrum_0707,mp-571054
spectrum_0708,mp-571074
spectrum_0709,mp-571268
spectrum_0710,mp-571386
spectrum_0711,mp-571468
spectrum_0712,mp-572929
spectrum_0713,mp-573024
spectrum_0714,mp-573069
spectrum_0715,mp-573877
spectrum_0716,mp-574507
spectrum_0717,mp-579718
spectrum_0718,mp-580364
spectrum_0719,mp-581212
spectrum_0720,mp-581303
spectrum_0721,mp-581641
spectrum_0722,mp-581786
spectrum_0723,mp-582681
spectrum_0724,mp-583800
spectrum_0725,mp-5866
spectrum_0726,mp-5938
spectrum_0727,mp-600172
spectrum_0728,mp-600604
spectrum_0729,mp-6013
spectrum_0730,mp-601952
spectrum_0731,mp-6036
spectrum_0732,mp-604273
spectrum_0733,mp-604996
spectrum_0734,mp-605172
spectrum_0735,mp-605196
spectrum_0736,mp-607080
spectrum_0737,mp-6127
spectrum_0738,mp-614489
spectrum_0739,mp-614964
spectrum_0740,mp-616166
spectrum_0741,mp-616610
spectrum_0742,mp-617247
spectrum_0743,mp-6181
spectrum_0744,mp-618788
spectrum_0745,mp-618991
spectrum_0746,mp-620033
spectrum_0747,mp-620325
spectrum_0748,mp-622026
spectrum_0749,mp-622108
spectrum_0750,mp-622110
spectrum_0751,mp-622570
spectrum_0752,mp-622576
spectrum_0753,mp-622636
spectrum_0754,mp-6252
spectrum_0755,mp-628568
spectrum_0756,mp-6297
spectrum_0757,mp-635456
spectrum_0758,mp-635469
spectrum_0759,mp-636198
spectrum_0760,mp-636240
spectrum_0761,mp-636256
spectrum_0762,mp-636978
spectrum_0763,mp-638086
spectrum_0764,mp-639675
spectrum_0765,mp-639719
spectrum_0766,mp-639756
spectrum_0767,mp-640899
spectrum_0768,mp-640925
spectrum_0769,mp-641710
spectrum_0770,mp-642
spectrum_0771,mp-642157
spectrum_0772,mp-642804
spectrum_0773,mp-642811
spectrum_0774,mp-643052
spectrum_0775,mp-643203
spectrum_0776,mp-643378
spectrum_0777,mp-643743
spectrum_0778,mp-643934
spectrum_0779,mp-645435
spectrum_0780,mp-645504
spectrum_0781,mp-646039
spectrum_0782,mp-646125
spectrum_0783,mp-646750
spectrum_0784,mp-647606
spectrum_0785,mp-649774
spectrum_0786,mp-6498
spectrum_0787,mp-649944
spectrum_0788,mp-650741
spectrum_0789,mp-651682
spectrum_0790,mp-651706
spectrum_0791,mp-6537
spectrum_0792,mp-653925
spectrum_0793,mp-654109
spectrum_0794,mp-654900
spectrum_0795,mp-655377
spectrum_0796,mp-669354
spectrum_0797,mp-669361
spectrum_0798,mp-672285
spectrum_0799,mp-672295
spectrum_0800,mp-672345
spectrum_0801,mp-677105
spectrum_0802,mp-679991
spectrum_0803,mp-6802
spectrum_0804,mp-680211
spectrum_0805,mp-680639
spectrum_0806,mp-6829
spectrum_0807,mp-683906
spectrum_0808,mp-683950
spectrum_0809,mp-6885
spectrum_0810,mp-690769
spectrum_0811,mp-696200
spectrum_0812,mp-697008
spectrum_0813,mp-697994
spectrum_0814,mp-698276
spectrum_0815,mp-698313
spectrum_0816,mp-698361
spectrum_0817,mp-698396
spectrum_0818,mp-698413
spectrum_0819,mp-699474
spectrum_0820,mp-703398
spectrum_0821,mp-703515
spectrum_0822,mp-703531
spectrum_0823,mp-704617
spectrum_0824,mp-704645
spectrum_0825,mp-704745
spectrum_0826,mp-705439
spectrum_0827,mp-705524
spectrum_0828,mp-706287
spectrum_0829,mp-706670
spectrum_0830,mp-707052
spectrum_0831,mp-707169
spectrum_0832,mp-707170
spectrum_0833,mp-707201
spectrum_0834,mp-707464
spectrum_0835,mp-707852
spectrum_0836,mp-707879
spectrum_0837,mp-709325
spectrum_0838,mp-712
spectrum_0839,mp-720299
spectrum_0840,mp-720337
spectrum_0841,mp-720417
spectrum_0842,mp-720876
spectrum_0843,mp-721072
spectrum_0844,mp-721604
spectrum_0845,mp-721789
spectrum_0846,mp-721943
spectrum_0847,mp-722280
spectrum_0848,mp-722867
spectrum_0849,mp-723175
spectrum_0850,mp-733590
spectrum_0851,mp-752783
spectrum_0852,mp-753954
spectrum_0853,mp-756758
spectrum_0854,mp-774723
spectrum_0855,mp-774726
spectrum_0856,mp-838
spectrum_0857,mp-845
spectrum_0858,mp-861595
spectrum_0859,mp-862687
spectrum_0860,mp-8800
spectrum_0861,mp-8806
spectrum_0862,mp-8927
spectrum_0863,mp-9248
spectrum_0864,mp-9660
spectrum_0865,mp-998
spectrum_0866,mp-999135
spectrum_0867,mp-1001780
spectrum_0868,mp-1005792
spectrum_0869,mp-1008511
spectrum_0870,mp-1017556
spectrum_0871,mp-1018029
spectrum_0872,mp-1018149
spectrum_0873,mp-1018705
spectrum_0874,mp-1018713
spectrum_0875,mp-1018714
spectrum_0876,mp-1018784
spectrum_0877,mp-1018893
spectrum_0878,mp-1023132
spectrum_0879,mp-10244
spectrum_0880,mp-1024954
spectrum_0881,mp-1024957
spectrum_0882,mp-1024987
spectrum_0883,mp-1024991
spectrum_0884,mp-1024994
spectrum_0885,mp-1025013
spectrum_0886,mp-1025021
spectrum_0887,mp-1025032
spectrum_0888,mp-1025116
spectrum_0889,mp-1025122
spectrum_0890,mp-1025128
spectrum_0891,mp-1025134
spectrum_0892,mp-1025136
spectrum_0893,mp-1025265
spectrum_0894,mp-1025340
spectrum_0895,mp-1025402
spectrum_0896,mp-1025532
spectrum_0897,mp-10288
spectrum_0898,mp-10336
spectrum_0899,mp-1038
spectrum_0900,mp-10381
spectrum_0901,mp-10533
spectrum_0902,mp-10598
spectrum_0903,mp-1068891
spectrum_0904,mp-1069287
spectrum_0905,mp-1069357
spectrum_0906,mp-1069375
spectrum_0907,mp-1069443
spectrum_0908,mp-1069825
spectrum_0909,mp-1070573
spectrum_0910,mp-1070869
spectrum_0911,mp-1071051
spectrum_0912,mp-1071645
spectrum_0913,mp-1071835
spectrum_0914,mp-1071904
spectrum_0915,mp-1072033
spectrum_0916,mp-1072041
spectrum_0917,mp-1072264
spectrum_0918,mp-10746
spectrum_0919,mp-10749
spectrum_0920,mp-1076933
spectrum_0921,mp-1077154
spectrum_0922,mp-1077165
spectrum_0923,mp-1077167
spectrum_0924,mp-1077209
spectrum_0925,mp-1077290
spectrum_0926,mp-1077293
spectrum_0927,mp-1077351
spectrum_0928,mp-1077428
spectrum_0929,mp-1077453
spectrum_0930,mp-1077498
spectrum_0931,mp-1077518
spectrum_0932,mp-1077741
spectrum_0933,mp-1077750
spectrum_0934,mp-1077752
spectrum_0935,mp-1077802
spectrum_0936,mp-1077929
spectrum_0937,mp-1078005
spectrum_0938,mp-1078292
spectrum_0939,mp-1078460
spectrum_0940,mp-1078489
spectrum_0941,mp-1078543
spectrum_0942,mp-1078544
spectrum_0943,mp-1078592
spectrum_0944,mp-1078630
spectrum_0945,mp-1078692
spectrum_0946,mp-1078729
spectrum_0947,mp-1078738
spectrum_0948,mp-1078853
spectrum_0949,mp-1078857
spectrum_0950,mp-1078916
spectrum_0951,mp-1078920
spectrum_0952,mp-1078982
spectrum_0953,mp-1079261
spectrum_0954,mp-1079357
spectrum_0955,mp-1079361
spectrum_0956,mp-1079498
spectrum_0957,mp-1079508
spectrum_0958,mp-1079779
spectrum_0959,mp-1079868
spectrum_0960,mp-1079890
spectrum_0961,mp-1080085
spectrum_0962,mp-1080116
spectrum_0963,mp-1080149
spectrum_0964,mp-1080384
spectrum_0965,mp-1080443
spectrum_0966,mp-1080560
spectrum_0967,mp-1080588
spectrum_0968,mp-1080594
