chemistry,method,condition,accuracy,n
Li-La-Zr-O,background_subtracted_xrd,noise_0.04_trial1,0.9464285714285714,112
Li-La-Zr-O,derivative_xrd,noise_0.04_trial1,0.875,112
Li-La-Zr-O,pdf_1_5,noise_0.04_trial1,0.625,112
Li-La-Zr-O,pdf_5_40,noise_0.04_trial1,0.9553571428571429,112
Li-La-Zr-O,pdf_1_40,noise_0.04_trial1,0.9553571428571429,112
Li-La-Zr-O,pdf_40_120,noise_0.04_trial1,0.8303571428571429,112
Li-La-Zr-O,raw_xrd,noise_0.04_trial2,0.9553571428571429,112
Li-La-Zr-O,sqrt_xrd,noise_0.04_trial2,0.9464285714285714,112
Li-La-Zr-O,background_subtracted_xrd,noise_0.04_trial2,0.9553571428571429,112
Li-La-Zr-O,derivative_xrd,noise_0.04_trial2,0.8660714285714286,112
Li-La-Zr-O,pdf_1_5,noise_0.04_trial2,0.7053571428571429,112
Li-La-Zr-O,pdf_5_40,noise_0.04_trial2,0.9642857142857143,112
Li-La-Zr-O,pdf_1_40,noise_0.04_trial2,0.9553571428571429,112
Li-La-Zr-O,pdf_40_120,noise_0.04_trial2,0.8392857142857143,112
Li-La-Zr-O,raw_xrd,background_0.05,0.9375,112
Li-La-Zr-O,sqrt_xrd,background_0.05,0.9375,112
Li-La-Zr-O,background_subtracted_xrd,background_0.05,0.9553571428571429,112
Li-La-Zr-O,derivative_xrd,background_0.05,0.8571428571428571,112
Li-La-Zr-O,pdf_1_5,background_0.05,0.25892857142857145,112
Li-La-Zr-O,pdf_5_40,background_0.05,0.9642857142857143,112
Li-La-Zr-O,pdf_1_40,background_0.05,0.9553571428571429,112
Li-La-Zr-O,pdf_40_120,background_0.05,0.8571428571428571,112
Li-La-Zr-O,raw_xrd,background_0.25,0.8660714285714286,112
Li-La-Zr-O,sqrt_xrd,background_0.25,0.8571428571428571,112
Li-La-Zr-O,background_subtracted_xrd,background_0.25,0.9553571428571429,112
Li-La-Zr-O,derivative_xrd,background_0.25,0.8571428571428571,112
Li-La-Zr-O,pdf_1_5,background_0.25,0.03571428571428571,112
Li-La-Zr-O,pdf_5_40,background_0.25,0.9642857142857143,112
Li-La-Zr-O,pdf_1_40,background_0.25,0.8660714285714286,112
Li-La-Zr-O,pdf_40_120,background_0.25,0.8571428571428571,112
Li-Ti-P-O,raw_xrd,baseline,0.9448275862068966,145
Li-Ti-P-O,sqrt_xrd,baseline,0.9310344827586207,145
Li-Ti-P-O,background_subtracted_xrd,baseline,0.9310344827586207,145
Li-Ti-P-O,derivative_xrd,baseline,0.8827586206896552,145
Li-Ti-P-O,pdf_1_5,baseline,0.6413793103448275,145
Li-Ti-P-O,pdf_5_40,baseline,0.9448275862068966,145
Li-Ti-P-O,pdf_1_40,baseline,0.8896551724137931,145
Li-Ti-P-O,pdf_40_120,baseline,0.8482758620689655,145
Li-Ti-P-O,raw_xrd,noise_0.01_trial0,0.9448275862068966,145
Li-Ti-P-O,sqrt_xrd,noise_0.01_trial0,0.9310344827586207,145
Li-Ti-P-O,background_subtracted_xrd,noise_0.01_trial0,0.9310344827586207,145
Li-Ti-P-O,derivative_xrd,noise_0.01_trial0,0.8758620689655172,145
Li-Ti-P-O,pdf_1_5,noise_0.01_trial0,0.6620689655172414,145
Li-Ti-P-O,pdf_5_40,noise_0.01_trial0,0.9448275862068966,145
Li-Ti-P-O,pdf_1_40,noise_0.01_trial0,0.896551724137931,145
Li-Ti-P-O,pdf_40_120,noise_0.01_trial0,0.8482758620689655,145
Li-Ti-P-O,raw_xrd,noise_0.01_trial1,0.9448275862068966,145
Li-Ti-P-O,sqrt_xrd,noise_0.01_trial1,0.9310344827586207,145
Li-Ti-P-O,background_subtracted_xrd,noise_0.01_trial1,0.9379310344827586,145
Li-Ti-P-O,derivative_xrd,noise_0.01_trial1,0.8758620689655172,145
Li-Ti-P-O,pdf_1_5,noise_0.01_trial1,0.6344827586206897,145
Li-Ti-P-O,pdf_5_40,noise_0.01_trial1,0.9448275862068966,145
Li-Ti-P-O,pdf_1_40,noise_0.01_trial1,0.896551724137931,145
Li-Ti-P-O,pdf_40_120,noise_0.01_trial1,0.8551724137931035,145
Li-Ti-P-O,raw_xrd,noise_0.01_trial2,0.9448275862068966,145
Li-Ti-P-O,sqrt_xrd,noise_0.01_trial2,0.9310344827586207,145
Li-Ti-P-O,background_subtracted_xrd,noise_0.01_trial2,0.9379310344827586,145
Li-Ti-P-O,derivative_xrd,noise_0.01_trial2,0.8758620689655172,145
Li-Ti-P-O,pdf_1_5,noise_0.01_trial2,0.6413793103448275,145
Li-Ti-P-O,pdf_5_40,noise_0.01_trial2,0.9448275862068966,145
Li-Ti-P-O,pdf_1_40,noise_0.01_trial2,0.8896551724137931,145
Li-Ti-P-O,pdf_40_120,noise_0.01_trial2,0.8482758620689655,145
Li-Ti-P-O,raw_xrd,noise_0.04_trial0,0.9448275862068966,145
Li-Ti-P-O,sqrt_xrd,noise_0.04_trial0,0.9379310344827586,145
Li-Ti-P-O,background_subtracted_xrd,noise_0.04_trial0,0.9448275862068966,145
Li-Ti-P-O,derivative_xrd,noise_0.04_trial0,0.8551724137931035,145
Li-Ti-P-O,pdf_1_5,noise_0.04_trial0,0.6068965517241379,145
Li-Ti-P-O,pdf_5_40,noise_0.04_trial0,0.9448275862068966,145
Li-Ti-P-O,pdf_1_40,noise_0.04_trial0,0.8896551724137931,145
Li-Ti-P-O,pdf_40_120,noise_0.04_trial0,0.8482758620689655,145
Li-Ti-P-O,raw_xrd,noise_0.04_trial1,0.9448275862068966,145
Li-Ti-P-O,sqrt_xrd,noise_0.04_trial1,0.9310344827586207,145
Li-Ti-P-O,background_subtracted_xrd,noise_0.04_trial1,0.9379310344827586,145
Li-Ti-P-O,derivative_xrd,noise_0.04_trial1,0.8482758620689655,145
Li-Ti-P-O,pdf_1_5,noise_0.04_trial1,0.593103448275862,145
Li-Ti-P-O,pdf_5_40,noise_0.04_trial1,0.9586206896551724,145
Li-Ti-P-O,pdf_1_40,noise_0.04_trial1,0.8827586206896552,145
Li-Ti-P-O,pdf_40_120,noise_0.04_trial1,0.8482758620689655,145
Li-Ti-P-O,raw_xrd,noise_0.04_trial2,0.9448275862068966,145
Li-Ti-P-O,sqrt_xrd,noise_0.04_trial2,0.9310344827586207,145
Li-Ti-P-O,background_subtracted_xrd,noise_0.04_trial2,0.9379310344827586,145
Li-Ti-P-O,derivative_xrd,noise_0.04_trial2,0.8551724137931035,145
Li-Ti-P-O,pdf_1_5,noise_0.04_trial2,0.5724137931034483,145
Li-Ti-P-O,pdf_5_40,noise_0.04_trial2,0.9448275862068966,145
Li-Ti-P-O,pdf_1_40,noise_0.04_trial2,0.8827586206896552,145
Li-Ti-P-O,pdf_40_120,noise_0.04_trial2,0.8482758620689655,145
Li-Ti-P-O,raw_xrd,background_0.05,0.9448275862068966,145
Li-Ti-P-O,sqrt_xrd,background_0.05,0.9310344827586207,145
Li-Ti-P-O,background_subtracted_xrd,background_0.05,0.9310344827586207,145
Li-Ti-P-O,derivative_xrd,background_0.05,0.8827586206896552,145
Li-Ti-P-O,pdf_1_5,background_0.05,0.16551724137931034,145
Li-Ti-P-O,pdf_5_40,background_0.05,0.9448275862068966,145
Li-Ti-P-O,pdf_1_40,background_0.05,0.896551724137931,145
Li-Ti-P-O,pdf_40_120,background_0.05,0.8482758620689655,145
Li-Ti-P-O,raw_xrd,background_0.25,0.8551724137931035,145
Li-Ti-P-O,sqrt_xrd,background_0.25,0.7172413793103448,145
Li-Ti-P-O,background_subtracted_xrd,background_0.25,0.9379310344827586,145
Li-Ti-P-O,derivative_xrd,background_0.25,0.8827586206896552,145
Li-Ti-P-O,pdf_1_5,background_0.25,0.027586206896551724,145
Li-Ti-P-O,pdf_5_40,background_0.25,0.9379310344827586,145
Li-Ti-P-O,pdf_1_40,background_0.25,0.7793103448275862,145
Li-Ti-P-O,pdf_40_120,background_0.25,0.8482758620689655,145
