id,role,fold
A_S_b7e26018955f3987,train,0
A_S_b7f2a4a75e5ec05f,train,0
A_S_b82b80fb06490474,train,0
A_S_b82c85f0d601a027,test,0
A_S_b83f7a1fa3f10d5d,test,0
A_S_b84fbcf784e5b70d,train,0
A_S_b9467f374725112e,validation,0
A_S_b99c38bb9230521f,validation,0
A_S_b9f9e789fafb996a,train,0
A_S_b9fb6185f59e11b0,validation,0
A_S_bac68ee513d6f24f,test,0
A_S_badc298062e4d6d1,train,0
A_S_bb42cb0a6f74651d,train,0
A_S_bc3312e373789fb9,train,0
A_S_bc90e5b4cd8ffd6a,train,0
A_S_bcea1de52a103db7,train,0
A_S_bd349b9ca762eadd,train,0
A_S_be8f326ffdd00c31,train,0
A_S_bec5c847134ea797,validation,0
A_S_bf5c0e4c81e3ac34,validation,0
A_S_c072125fb071bb90,validation,0
A_S_c16e248a70cdb86e,train,0
A_S_c192e2a208985dcd,test,0
A_S_c1e393696c9840fe,train,0
A_S_c22b652477e82a0c,train,0
A_S_c2fe0cddfe35dae2,train,0
A_S_c39b9e0a013858d1,validation,0
A_S_c4317f4e08d92d13,train,0
A_S_c432b26663b5e9e6,train,0
A_S_c4a3b6224b26be4d,train,0
A_S_c51aca1bf23bc86e,test,0
A_S_c5d8ef37624b8cb9,train,0
A_S_c7429857d5b92b7b,train,0
A_S_c74e976b16365e4d,train,0
A_S_c7d783c2804a9ee8,validation,0
A_S_c83481f9c49dae2b,train,0
A_S_c8f8fd0f079fe449,validation,0
A_S_caa01480a04832f4,train,0
A_S_caaf6d35cff8ebcc,train,0
A_S_cac138d12732ddea,train,0
A_S_cada4b5a18ca5e2a,test,0
A_S_cb03f490de2bc142,train,0
A_S_cb4c96edf432e9c7,train,0
A_S_cb7f61c372dbebb0,train,0
A_S_ccaf2bfff1012480,train,0
A_S_ce247886ba8537ed,train,0
A_S_ce2d412f153accfe,train,0
A_S_cee7a984abf1699e,train,0
A_S_cfa2c65f41b0989b,train,0
A_S_cfc88a3a50c0acc5,train,0
A_S_d085e79e105b6c5c,train,0
A_S_d12314c112b14ddd,train,0
A_S_d15be190c13d0afa,train,0
A_S_d19b6815f2705362,train,0
A_S_d443bb4b568bd706,train,0
A_S_d493eb96e42f714b,train,0
A_S_d4bd99e5264b96cf,train,0
A_S_d4e40633d617f03c,train,0
A_S_d5970444be4795aa,train,0
A_S_d5b24bf140b86505,validation,0
A_S_d5e72c1846c2af5d,train,0
A_S_d60108c9f1b354dd,test,0
A_S_d60836b71ee80f53,train,0
A_S_d647533c08dd6af6,train,0
A_S_d66555db95bf577c,train,0
A_S_d68a9d99ae5302cd,validation,0
A_S_d7a8d5a2f482f383,test,0
A_S_d8122eb6b9ca24b9,train,0
A_S_d864889bd74201d0,train,0
A_S_d898d49d9c9b286e,train,0
A_S_d8af629a8e73f2e2,train,0
A_S_d8da04b93daaf299,test,0
A_S_d97d9df6de3bc4ad,train,0
A_S_d9ad785bec0de3d1,train,0
A_S_d9d95eb3b9a0f5ce,train,0
A_S_d9e78c7cee15d161,train,0
A_S_da065f828c44fdb7,validation,0
A_S_da3d40aa60855e0c,train,0
A_S_da5c99e6299db26a,train,0
A_S_dbdcd4478752ff4e,train,0
A_S_dd5299f2223087a9,train,0
A_S_ddc976386cc84925,train,0
A_S_dded1c55ee4e4b1d,validation,0
A_S_de00a68d752bdb87,train,0
A_S_de4a1f717d6a1c65,train,0
A_S_de6572a6dfc2942a,validation,0
A_S_dee1c1dc0b5c0f50,train,0
A_S_e08ef88b5bd72f4d,train,0
A_S_e0b5c52302a6242a,train,0
A_S_e12defd0fe81427c,train,0
A_S_e18b071396ece63f,train,0
A_S_e1bea54bef5cac77,validation,0
A_S_e2d4dee61d3b4125,train,0
A_S_e2d82593e2984856,train,0
A_S_e3687eafaa681ace,train,0
A_S_e38f951fdd8da676,test,0
A_S_e3ef58be206ad3b9,train,0
A_S_e4090e84ef872d79,train,0
A_S_e431890148fe4a80,validation,0
A_S_e489932a967bd78e,train,0
A_S_e5391f4bd70d7fe7,train,0
A_S_e58457d15205a5f1,validation,0
A_S_e6e4e98dd6c9b481,train,0
A_S_e74a65164895ebdc,train,0
A_S_e7cf81bd4fe9a60a,test,0
A_S_e8872a37d212278b,train,0
A_S_e88a0e3a3e0f7de6,train,0
A_S_e90c34bc2b4b707b,train,0
A_S_e91d5fec947e1a91,validation,0
A_S_e9b31f08a19c3c61,train,0
A_S_e9cdceac800aa8b1,train,0
A_S_ea705435bfea81f5,train,0
A_S_ead7cdb6b65c1be1,train,0
A_S_eb23d14d6a31da91,validation,0
A_S_ebc4877655c731a7,test,0
A_S_ebf806baab87dfa9,validation,0
A_S_ec4d714dcb5407e4,train,0
A_S_ec6f739e40d79697,train,0
A_S_ec7b525d42000189,test,0
A_S_ed4ffffebab36988,train,0
A_S_ed78f3d38c4c744a,train,0
A_S_ed7d1a3fa8ab2c3b,validation,0
A_S_edb9ccd461fc558f,train,0
A_S_edbe34ad7d87f796,train,0
A_S_edc098994a111529,validation,0
A_S_edc5555913dd7ef2,train,0
A_S_edd85f17325ab88a,test,0
A_S_ee88708cea7f676d,test,0
A_S_eefbb74d3efaea07,train,0
A_S_ef140b8e53fd4ca8,train,0
A_S_ef67a70867f061af,validation,0
A_S_f01121a9d0a24502,train,0
A_S_f07bee03d7a8c102,train,0
A_S_f088224c5285ec68,validation,0
A_S_f137fa2b3ed218d0,train,0
A_S_f142b16a4912ef6d,test,0
A_S_f18370f9964221fe,validation,0
A_S_f2a72e45a3b58203,train,0
A_S_f4654fb0a6e3274b,validation,0
A_S_f586fff2be4355a8,train,0
A_S_f5dec87f52bf0dfd,train,0
A_S_f6eb43a75cd75846,train,0
A_S_f8904d354a439f4d,train,0
A_S_f926b6c611447eff,train,0
A_S_f99f69710179894a,train,0
A_S_fa49bc0d2d291802,validation,0
A_S_fa7f0498bb3e8447,train,0
A_S_fc00c87a7ce6feea,train,0
A_S_fc369b5c7a5cb401,train,0
A_S_fd05ec817eb3077f,train,0
A_S_fdd502485639241c,test,0
A_S_fddd3fa658a122fd,validation,0
A_S_ff4c3670b98c0932,train,0
A_S_ff8da8ffe5fc167c,test,0
A_S_ffd9d58c7efa5afc,train,0
B_S_018c558d6eeb07bc,validation,0
B_S_025937d57502b6dc,train,0
B_S_02723e6d57e53340,test,0
B_S_031e7f770c2fe0a7,train,0
B_S_031ef7d52898f159,train,0
B_S_0322527498d9af87,train,0
B_S_0426f18d99dd5a18,train,0
B_S_044eb374f92ea1b3,test,0
B_S_04cde678090464c7,test,0
B_S_0572a8aba98dac73,validation,0
B_S_05842c562ecbd252,train,0
B_S_05991e9d132c10e1,test,0
B_S_05cf4bfaeaf45af4,train,0
B_S_0691bf18a8c496e4,test,0
B_S_07d8e51b433299e1,test,0
B_S_07e1dfb94e4d8ea8,validation,0
B_S_07f1023aa357cd10,train,0
B_S_083a6b312a31fc8e,validation,0
B_S_09430ab416ba2765,train,0
B_S_098fdf8be4a02f09,test,0
B_S_0999c4c3bab175b3,train,0
B_S_09ecf851b19497f2,train,0
B_S_0a98b47941e45071,validation,0
B_S_0ab6e555a98086ea,test,0
B_S_0ada7b29504fef82,validation,0
B_S_0b4be85f159a0963,train,0
B_S_0b69bb22cfd94545,train,0
B_S_0b79f194a6013e3d,train,0
B_S_0ba43a4559d6a4d5,test,0
B_S_0bdc1002b9c17c24,validation,0
B_S_0c112125550830c5,train,0
B_S_0d37f033941a5231,train,0
B_S_0d6ee41d334c881a,train,0
B_S_0d905a92f0ee5dc2,train,0
B_S_0db9397535b53836,validation,0
B_S_0dbec3ea0a8c13cf,train,0
B_S_0e0fcb9aeec09753,test,0
B_S_0f329dd9da91462d,test,0
B_S_0f4e6cdd786fdabd,train,0
B_S_0ff73b844a5a10e3,validation,0
B_S_106c379f3a101f38,validation,0
B_S_10fe4faa96d852f7,train,0
B_S_117d3fa7295dedac,train,0
B_S_127e3c72075c2de0,test,0
B_S_12995779405bd089,train,0
B_S_12bb1641a2177087,test,0
B_S_12f0bec697a41e71,test,0
B_S_141243a6a760176d,test,0
B_S_14d31c13fcc4a426,train,0
B_S_1534fe223f019cef,test,0
B_S_1559b0b0b7cffd82,train,0
B_S_1669a1c5b44ef639,validation,0
B_S_172917009ef8e229,train,0
B_S_186c66f4f55a7b04,train,0
B_S_19a90c2fd7fc9fe0,train,0
B_S_1a67a584a3707bb6,validation,0
B_S_1b99bcbef86a852d,test,0
B_S_1bcdfeb89dafd4a8,validation,0
B_S_1bd333886d969ee2,validation,0
B_S_1d0b2fbce045ca6e,test,0
B_S_1da64c932dcd1875,test,0
B_S_1dcb9a5b31aa6580,train,0
B_S_1e4bf206fb329c76,train,0
B_S_1ed04c1bd0da2958,train,0
B_S_1f84b3545214bea4,test,0
B_S_1fbbf420148e2f01,train,0
B_S_2042796204ba9571,train,0
B_S_20c5194c695e058a,test,0
B_S_20fb6b14b453f074,train,0
B_S_211570a356ed4771,train,0
B_S_212878e0d84de5d7,train,0
B_S_2217c23a6561054a,train,0
B_S_22628ef09a0ecfa8,train,0
B_S_229c13157b333636,train,0
B_S_2350e04713f4562f,validation,0
B_S_23f3a8cbd6a0a060,train,0
B_S_24644192b5fe4008,test,0
B_S_25c69e5913fe645a,train,0
B_S_25f501cc2d4840e8,test,0
B_S_272ccc43febd56f6,train,0
B_S_2743c0e55883c711,train,0
B_S_2744d682e14bd152,train,0
B_S_2771091c121e23cf,test,0
B_S_27a55abaf2286baa,train,0
B_S_27c85f569a0a90b4,train,0
B_S_28828fe3c1266f5f,test,0
B_S_28abc37c5a1b0b9d,validation,0
B_S_29aa230087a10baa,train,0
B_S_2a593f78956a0fe5,validation,0
B_S_2a7acc511cff6eaa,validation,0
B_S_2a8cbaac14f38d89,train,0
B_S_2ac6f67f3f3444f4,train,0
B_S_2bc9f3e1faa17629,validation,0
B_S_2bcd350f3edd716f,test,0
B_S_2d0e01451ecbd192,train,0
B_S_2d28f6d3d8918e96,validation,0
B_S_2dd9d6c785bf20c9,train,0
B_S_2e48560dbbbb1531,train,0
B_S_2e5c3c83fe0a6ad3,train,0
B_S_2e6811b63895da07,train,0
B_S_2ec0fbd5e8ba19cf,train,0
B_S_2f8c09f6d67b2534,train,0
B_S_2f9e28fc63ab4c5a,train,0
B_S_2fc457f9a8be9d4a,validation,0
B_S_304ecdd85f321bdf,train,0
B_S_3051221734b7cc6c,train,0
B_S_30bbdb8081f3f17a,train,0
B_S_30c42e856e6a7546,train,0
B_S_315ce43d8578ffe9,train,0
B_S_318efe2a305eb146,train,0
B_S_3228528b4ab46bfe,validation,0
B_S_329d47136da44f40,validation,0
B_S_32fcf61b178573cd,train,0
B_S_33e4d07c8e59bbf8,test,0
B_S_3412b0a6bc728ae6,train,0
B_S_343f9524e8e7dfc0,test,0
B_S_348442d8ec9a42d4,train,0
B_S_34eae13a07c29064,train,0
B_S_35b0ee789520b807,train,0
B_S_362ff5a0f3f9e08b,validation,0
B_S_36f73ad43cb245d7,validation,0
B_S_372def5cfa8cd5d7,train,0
B_S_3799b2b2c721e456,validation,0
B_S_37cbe2c302212d38,train,0
B_S_38259668fb240eff,test,0
B_S_383eb4619671f255,train,0
B_S_387513d1141967c1,train,0
B_S_38d5d82cc171297f,train,0
B_S_39652e9b29a04adc,test,0
B_S_3a05baef041bfe8d,validation,0
B_S_3a329dddf4808dd4,test,0
B_S_3a533c17710751e0,test,0
B_S_3a66cb2aa1b13bd5,test,0
B_S_3af0e1162a9b67f7,validation,0
B_S_3b42bd897a080cce,test,0
B_S_3c09cd96869e201e,train,0
B_S_3c7d128e210636df,validation,0
B_S_3ce02575e7e819cb,test,0
B_S_3d3aed1195ecc672,train,0
B_S_3d989693222c4e88,train,0
B_S_3de23c08d3b09250,test,0
B_S_3df1f3e52304a752,validation,0
B_S_3e0d027dafd6dc26,train,0
B_S_3f2a0ddec73b890f,test,0
B_S_3fa6efabcda6aab0,validation,0
B_S_40c88f49ed4685e1,test,0
