chemistry,method,condition,truth,predicted,count
Li-La-Zr-O,pdf_1_5,baseline,ZrO2_137,La2Zr2O7_227,1
Li-La-Zr-O,pdf_1_5,baseline,ZrO_225,LiO2_58,2
Li-La-Zr-O,pdf_1_5,baseline,ZrO2_137,ZrO2_225,1
Li-La-Zr-O,pdf_1_5,baseline,LiOH-H2O_12,LiO2_58,1
Li-La-Zr-O,pdf_5_40,baseline,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,pdf_5_40,baseline,ZrO2_61,Zr2O_224,1
Li-La-Zr-O,pdf_5_40,baseline,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,pdf_1_40,baseline,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,pdf_1_40,baseline,ZrO2_61,Zr2O_224,1
Li-La-Zr-O,pdf_1_40,baseline,Li7La3Zr2O12_230,Li7La3Zr2O12_142,2
Li-La-Zr-O,pdf_40_120,baseline,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,pdf_40_120,baseline,ZrO_189,Li2O_225,1
Li-La-Zr-O,pdf_40_120,baseline,Li4Zr3O8_141,ZrO_225,1
Li-La-Zr-O,pdf_40_120,baseline,ZrO_225,LiOH-H2O_12,1
Li-La-Zr-O,pdf_40_120,baseline,Li4Zr3O8_141,Li2O_225,1
Li-La-Zr-O,pdf_40_120,baseline,Li7La3Zr2O12_230,Li2O2_194,1
Li-La-Zr-O,pdf_40_120,baseline,La2O3_206,LaOOH_11,2
Li-La-Zr-O,pdf_40_120,baseline,Li4Zr3O8_141,Zr2O_224,1
Li-La-Zr-O,pdf_40_120,baseline,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,pdf_40_120,baseline,Li7La3Zr2O12_230,Li4Zr3O8_141,1
Li-La-Zr-O,pdf_40_120,baseline,ZrO2_137,La2Zr2O7_227,1
Li-La-Zr-O,pdf_40_120,baseline,Zr3O_167,ZrO_189,1
Li-La-Zr-O,pdf_40_120,baseline,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,pdf_40_120,baseline,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,raw_xrd,noise_0.01_trial0,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,raw_xrd,noise_0.01_trial0,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,raw_xrd,noise_0.01_trial0,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,raw_xrd,noise_0.01_trial0,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial0,Zr2O_224,ZrO2_61,1
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial0,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial0,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial0,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial0,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,background_subtracted_xrd,noise_0.01_trial0,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,background_subtracted_xrd,noise_0.01_trial0,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,background_subtracted_xrd,noise_0.01_trial0,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,background_subtracted_xrd,noise_0.01_trial0,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial0,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,derivative_xrd,noise_0.01_trial0,ZrO_189,Li2O_225,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial0,ZrO_225,LiOH-H2O_12,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial0,La2O3_206,LaOOH_11,2
Li-La-Zr-O,derivative_xrd,noise_0.01_trial0,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial0,Li7La3Zr2O12_230,LiOH_129,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial0,Zr3O_182,Zr3O_167,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial0,ZrO2_137,ZrO2_62,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial0,ZrO2_62,Li2CO3_15,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial0,Zr3O_167,LiO2_58,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial0,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial0,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,ZrO2_19,LiLaO2_14,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,Zr2O_224,Li2CO3_15,3
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,Li2O2_194,LiO2_58,2
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,ZrO2_225,ZrO2_61,2
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,ZrO2_137,Li2O_225,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,ZrO_189,Zr3O_167,2
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,ZrO2_19,Li2CO3_15,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,ZrO2_225,Zr2O_224,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,LaOOH_11,La2O3_206,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,Li4Zr3O8_141,Li2ZrO3_15,2
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,Zr3O_182,Zr3O_167,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,ZrO2_137,ZrO2_14,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,ZrO2_14,ZrO2_19,2
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,La2Zr2O7_227,La(OH)3_176,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,Li7La3Zr2O12_230,Li7La3Zr2O12_142,3
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,ZrO2_14,ZrO2_62,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,ZrO2_137,La2Zr2O7_227,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,ZrO_225,LiO2_58,2
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,ZrO2_137,ZrO2_225,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial0,LiOH-H2O_12,LiO2_58,1
Li-La-Zr-O,pdf_5_40,noise_0.01_trial0,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,pdf_5_40,noise_0.01_trial0,ZrO2_61,Zr2O_224,1
Li-La-Zr-O,pdf_5_40,noise_0.01_trial0,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,pdf_1_40,noise_0.01_trial0,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,pdf_1_40,noise_0.01_trial0,ZrO2_61,Zr2O_224,1
Li-La-Zr-O,pdf_1_40,noise_0.01_trial0,Li7La3Zr2O12_230,Li7La3Zr2O12_142,2
Li-La-Zr-O,pdf_40_120,noise_0.01_trial0,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,pdf_40_120,noise_0.01_trial0,ZrO_189,Li2O_225,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial0,Li4Zr3O8_141,ZrO_225,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial0,ZrO_225,LiOH-H2O_12,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial0,Li4Zr3O8_141,Li2O_225,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial0,Li7La3Zr2O12_230,Li2O2_194,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial0,La2O3_206,LaOOH_11,2
Li-La-Zr-O,pdf_40_120,noise_0.01_trial0,Li4Zr3O8_141,Zr3O_182,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial0,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial0,Li7La3Zr2O12_230,Li4Zr3O8_141,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial0,ZrO2_137,LiOH-H2O_12,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial0,Zr3O_167,ZrO_189,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial0,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial0,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,raw_xrd,noise_0.01_trial1,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,raw_xrd,noise_0.01_trial1,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,raw_xrd,noise_0.01_trial1,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,raw_xrd,noise_0.01_trial1,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial1,Zr2O_224,ZrO2_61,1
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial1,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial1,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial1,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial1,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,background_subtracted_xrd,noise_0.01_trial1,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,background_subtracted_xrd,noise_0.01_trial1,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,background_subtracted_xrd,noise_0.01_trial1,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,background_subtracted_xrd,noise_0.01_trial1,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial1,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,derivative_xrd,noise_0.01_trial1,ZrO_189,Li2O_225,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial1,ZrO_225,LiOH-H2O_12,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial1,ZrO2_225,ZrO2_61,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial1,La2O3_206,LaOOH_11,2
Li-La-Zr-O,derivative_xrd,noise_0.01_trial1,Li4Zr3O8_141,Li7La3Zr2O12_230,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial1,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial1,Li7La3Zr2O12_230,LiOH_129,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial1,Zr3O_182,Zr3O_167,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial1,ZrO2_137,ZrO2_62,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial1,ZrO2_62,Li2CO3_15,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial1,Zr3O_167,LiO2_58,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial1,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial1,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,ZrO2_19,LiLaO2_14,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,Zr2O_224,Li2CO3_15,3
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,ZrO2_14,La2O3_206,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,Li2O2_194,LiO2_58,2
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,ZrO2_225,ZrO2_61,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,ZrO_189,Zr3O_167,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,ZrO2_225,Zr2O_224,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,LaOOH_11,La2O3_206,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,Li4Zr3O8_141,Li2ZrO3_15,2
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,Zr3O_182,Zr3O_167,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,ZrO2_137,ZrO2_225,2
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,ZrO2_61,Zr2O_224,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,ZrO2_14,ZrO2_19,2
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,Li7La3Zr2O12_230,Li7La3Zr2O12_142,3
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,ZrO2_14,ZrO2_62,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,ZrO2_137,La2Zr2O7_227,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,ZrO_225,LiO2_58,2
Li-La-Zr-O,pdf_1_5,noise_0.01_trial1,LiOH-H2O_12,LiO2_58,1
Li-La-Zr-O,pdf_5_40,noise_0.01_trial1,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,pdf_5_40,noise_0.01_trial1,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,pdf_1_40,noise_0.01_trial1,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,pdf_1_40,noise_0.01_trial1,ZrO2_61,Zr2O_224,1
Li-La-Zr-O,pdf_1_40,noise_0.01_trial1,Li7La3Zr2O12_230,Li7La3Zr2O12_142,2
Li-La-Zr-O,pdf_40_120,noise_0.01_trial1,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,pdf_40_120,noise_0.01_trial1,ZrO_189,Li2O_225,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial1,Li4Zr3O8_141,ZrO_225,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial1,ZrO_225,LiOH-H2O_12,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial1,Li4Zr3O8_141,Li2O_225,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial1,Li7La3Zr2O12_230,Li2O2_194,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial1,La2O3_206,LaOOH_11,2
Li-La-Zr-O,pdf_40_120,noise_0.01_trial1,Li4Zr3O8_141,Zr3O_182,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial1,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial1,Li7La3Zr2O12_230,Li4Zr3O8_141,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial1,ZrO2_137,La2Zr2O7_227,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial1,Zr3O_167,ZrO_189,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial1,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial1,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,raw_xrd,noise_0.01_trial2,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,raw_xrd,noise_0.01_trial2,La2O3_206,LaOOH_11,1
Li-La-Zr-O,raw_xrd,noise_0.01_trial2,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,raw_xrd,noise_0.01_trial2,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,raw_xrd,noise_0.01_trial2,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial2,Zr2O_224,ZrO2_61,1
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial2,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial2,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial2,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,sqrt_xrd,noise_0.01_trial2,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,background_subtracted_xrd,noise_0.01_trial2,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,background_subtracted_xrd,noise_0.01_trial2,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,background_subtracted_xrd,noise_0.01_trial2,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,background_subtracted_xrd,noise_0.01_trial2,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial2,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,derivative_xrd,noise_0.01_trial2,ZrO_189,Li2O_225,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial2,ZrO_225,LiOH-H2O_12,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial2,La2O3_206,LaOOH_11,2
Li-La-Zr-O,derivative_xrd,noise_0.01_trial2,Li4Zr3O8_141,Li7La3Zr2O12_230,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial2,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial2,Li7La3Zr2O12_230,LiOH_129,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial2,Zr3O_182,Zr3O_167,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial2,ZrO2_137,ZrO2_62,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial2,ZrO2_62,Li2CO3_15,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial2,Zr3O_167,LiO2_58,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial2,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,derivative_xrd,noise_0.01_trial2,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,ZrO2_19,ZrO2_62,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,ZrO2_19,LiLaO2_14,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,Zr2O_224,Li2CO3_15,3
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,ZrO2_14,La2O3_206,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,Li2O2_194,LiO2_58,2
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,ZrO2_61,ZrO2_62,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,ZrO_189,Zr3O_167,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,ZrO2_225,ZrO2_61,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,ZrO2_19,Li2CO3_15,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,ZrO2_225,Zr2O_224,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,LaOOH_11,La2O3_206,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,Li4Zr3O8_141,Li2ZrO3_15,2
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,Zr3O_182,Zr3O_167,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,ZrO2_137,ZrO2_14,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,ZrO2_61,Zr2O_224,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,ZrO2_14,ZrO2_19,2
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,Li7La3Zr2O12_230,Li7La3Zr2O12_142,3
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,ZrO2_14,ZrO2_62,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,ZrO2_137,La2Zr2O7_227,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,ZrO_225,LiO2_58,2
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,ZrO2_137,ZrO2_225,1
Li-La-Zr-O,pdf_1_5,noise_0.01_trial2,LiOH-H2O_12,LiO2_58,1
Li-La-Zr-O,pdf_5_40,noise_0.01_trial2,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,pdf_5_40,noise_0.01_trial2,ZrO2_61,Zr2O_224,1
Li-La-Zr-O,pdf_5_40,noise_0.01_trial2,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,pdf_1_40,noise_0.01_trial2,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,pdf_1_40,noise_0.01_trial2,ZrO2_61,Zr2O_224,1
Li-La-Zr-O,pdf_1_40,noise_0.01_trial2,Li7La3Zr2O12_230,Li7La3Zr2O12_142,2
Li-La-Zr-O,pdf_40_120,noise_0.01_trial2,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,pdf_40_120,noise_0.01_trial2,ZrO_189,Li2O_225,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial2,Li4Zr3O8_141,ZrO_225,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial2,ZrO_225,LiOH-H2O_12,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial2,Li4Zr3O8_141,Li2O_225,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial2,Li7La3Zr2O12_230,Li2O2_194,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial2,La2O3_206,LaOOH_11,2
Li-La-Zr-O,pdf_40_120,noise_0.01_trial2,Li4Zr3O8_141,Zr3O_182,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial2,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial2,Li7La3Zr2O12_230,Li4Zr3O8_141,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial2,ZrO2_137,La2Zr2O7_227,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial2,Zr3O_167,ZrO_189,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial2,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,pdf_40_120,noise_0.01_trial2,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,raw_xrd,noise_0.04_trial0,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,raw_xrd,noise_0.04_trial0,La2O3_206,LaOOH_11,1
Li-La-Zr-O,raw_xrd,noise_0.04_trial0,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,raw_xrd,noise_0.04_trial0,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,raw_xrd,noise_0.04_trial0,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,sqrt_xrd,noise_0.04_trial0,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,sqrt_xrd,noise_0.04_trial0,Li2O_225,ZrO_225,1
Li-La-Zr-O,sqrt_xrd,noise_0.04_trial0,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,sqrt_xrd,noise_0.04_trial0,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,background_subtracted_xrd,noise_0.04_trial0,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,background_subtracted_xrd,noise_0.04_trial0,Li7La3Zr2O12_142,Li7La3Zr2O12_230,1
Li-La-Zr-O,background_subtracted_xrd,noise_0.04_trial0,Zr2O_224,ZrO2_225,1
Li-La-Zr-O,background_subtracted_xrd,noise_0.04_trial0,Li7La3Zr2O12_230,Li7La3Zr2O12_142,1
Li-La-Zr-O,derivative_xrd,noise_0.04_trial0,ZrO2_225,Zr2O_224,2
Li-La-Zr-O,derivative_xrd,noise_0.04_trial0,ZrO_189,Li2O_225,1
Li-La-Zr-O,derivative_xrd,noise_0.04_trial0,ZrO_225,LiOH-H2O_12,1
Li-La-Zr-O,derivative_xrd,noise_0.04_trial0,La2O3_206,LaOOH_11,2
