comparison_id,element,study,seed,generalization,delta_spectrum,delta_material,ci_low,ci_high,fraction_bootstrap_nonpositive,mae_white_material,mae_full_material,n_test_units
V_spectrum_all_1729,V,spectrum_all,1729,spectrum,0.08767921261171222,0.08767921261171222,0.0788776870810004,0.09660275677019302,0.0,0.16153891370731713,0.0738597010956049,801
Cr_primary_1729,Cr,primary,1729,identified_material,0.06560431119177895,0.06986016871063068,0.04645220790561232,0.09411040387054642,0.0,0.13916146637665,0.06930129766601925,126
Cr_primary_2718,Cr,primary,2718,identified_material,0.05499051626067604,0.05922587675908309,0.04129773771771248,0.07797289493730715,0.0,0.12937244294336137,0.07014656618427827,126
Cr_primary_31415,Cr,primary,31415,identified_material,0.06386324192490851,0.06778952222279011,0.04893463997957653,0.08844427013919158,0.0,0.14510297558163254,0.07731345335884239,126
Cr_primary_57721,Cr,primary,57721,identified_material,0.07474501354970732,0.08048400981487694,0.059185892564442275,0.1025518960559835,0.0,0.15689267445398056,0.07640866463910359,126
Cr_primary_81173,Cr,primary,81173,identified_material,0.0735955768869273,0.07631588635148286,0.05357584816390014,0.09921049497428293,0.0,0.1408866324946423,0.06457074614315948,126
Cr_unit_peak_normalized_1729,Cr,unit_peak_normalized,1729,identified_material,0.056797999119105866,0.06319034228101005,0.040908101670028486,0.08664044750720608,0.0,0.13916146637665,0.07597112409563991,126
Cr_spectrum_identified_1729,Cr,spectrum_identified,1729,spectrum,0.06677824084892045,0.06677824084892045,0.049369069953816944,0.08503231043884596,0.0,0.12342004044916684,0.0566417996002464,169
Cr_spectrum_all_1729,Cr,spectrum_all,1729,spectrum,0.07418937967801147,0.07418937967801145,0.06107960693761769,0.08803503134827187,0.0,0.146540103485219,0.07235072380720757,385
Mn_primary_1729,Mn,primary,1729,identified_material,0.09089325053401452,0.09848836432793728,0.0813918116840611,0.11573271908355065,0.0,0.15904434040693932,0.060555976079002025,255
Mn_primary_2718,Mn,primary,2718,identified_material,0.08135047570689197,0.09084901362745863,0.07449544936497939,0.10852532333804693,0.0,0.1496461623342447,0.05879714870678606,255
Mn_primary_31415,Mn,primary,31415,identified_material,0.07269753478327054,0.076190809315013,0.06216208096911338,0.09164994315276266,0.0,0.14924553674415422,0.0730547274291412,255
Mn_primary_57721,Mn,primary,57721,identified_material,0.09042776279374123,0.08434878243193106,0.06852902244987831,0.10042262767650102,0.0,0.15353825675983174,0.0691894743279007,255
Mn_primary_81173,Mn,primary,81173,identified_material,0.07367596133752236,0.07795891076701106,0.06375327511313687,0.09248691657090341,0.0,0.1426625630364221,0.06470365226941106,255
Mn_unit_peak_normalized_1729,Mn,unit_peak_normalized,1729,identified_material,0.0838699336913416,0.09067156122829596,0.0735129782722428,0.10866020508209155,0.0,0.15904434040693932,0.06837277917864333,255
Mn_spectrum_identified_1729,Mn,spectrum_identified,1729,spectrum,0.09298163576207173,0.09298163576207172,0.07895327880435118,0.10744384001455076,0.0,0.15524583202216866,0.06226419626009693,391
Mn_spectrum_all_1729,Mn,spectrum_all,1729,spectrum,0.08209160715030714,0.08209160715030712,0.07288260931629903,0.09112524789256476,0.0,0.13954054439438968,0.05744893724408254,846
Fe_primary_1729,Fe,primary,1729,identified_material,0.10936477977632757,0.09425220782110702,0.07091059902291828,0.12055782408479097,0.0,0.1945842106830845,0.1003320028619775,255
Fe_primary_2718,Fe,primary,2718,identified_material,0.09144161830791697,0.09956295168223994,0.07762274486117542,0.12364340350176693,0.0,0.19988062565292303,0.1003176739706831,255
Fe_primary_31415,Fe,primary,31415,identified_material,0.10724120222160723,0.10588439648888903,0.08322165460627377,0.1293273121631649,0.0,0.2143680762412964,0.10848367975240737,255
Fe_primary_57721,Fe,primary,57721,identified_material,0.08559457303051259,0.0917379358379477,0.0728596623556247,0.11078441704203869,0.0,0.19472711353873057,0.10298917770078285,255
Fe_primary_81173,Fe,primary,81173,identified_material,0.09683811718998145,0.09611006686715791,0.07637809557732966,0.11639275717991314,0.0,0.20602641909909591,0.10991635223193803,255
Fe_unit_peak_normalized_1729,Fe,unit_peak_normalized,1729,identified_material,0.102165944493523,0.08917800651701262,0.06740829604538522,0.11456240513125387,0.0,0.1945842106830845,0.10540620416607191,255
Fe_spectrum_identified_1729,Fe,spectrum_identified,1729,spectrum,0.09320354662268837,0.09320354662268839,0.07435712456931595,0.11407121622717457,0.0,0.19249508145045227,0.09929153482776387,412
Fe_spectrum_all_1729,Fe,spectrum_all,1729,spectrum,0.07781776990944171,0.07781776990944171,0.06678500391971254,0.08974567873988401,0.0,0.1762113403508699,0.0983935704414282,838
Co_primary_1729,Co,primary,1729,identified_material,0.07580247083914532,0.06675281658319848,0.04302198298826182,0.09344359301182968,0.0,0.15331599073068708,0.08656317414748858,167
Co_primary_2718,Co,primary,2718,identified_material,0.09702835089500109,0.08123727438721692,0.051808512090666184,0.11012382700497415,0.0,0.1671151625617873,0.08587788817457039,167
Co_primary_31415,Co,primary,31415,identified_material,0.08233209352282457,0.07603052069278599,0.04888044729741893,0.10652033646476497,0.0,0.17142663174629513,0.09539611105350915,167
Co_primary_57721,Co,primary,57721,identified_material,0.07997780102011103,0.06512198202185616,0.047456864769917166,0.08530772495442707,0.0,0.13756027716029237,0.0724382951384362,167
Co_primary_81173,Co,primary,81173,identified_material,0.05390506527380601,0.05776588967860373,0.03652879509625625,0.082241584464737,0.0,0.13348730150768173,0.07572141182907796,167
Co_unit_peak_normalized_1729,Co,unit_peak_normalized,1729,identified_material,0.0764617176231997,0.06696828473663151,0.04344083284043143,0.09345470985944034,0.0,0.15331599073068708,0.08634770599405556,167
Co_spectrum_identified_1729,Co,spectrum_identified,1729,spectrum,0.08598798273872414,0.08598798273872413,0.06342828617649152,0.10935274169349038,0.0,0.15478811911646828,0.06880013637774414,262
Co_spectrum_all_1729,Co,spectrum_all,1729,spectrum,0.08465416162454881,0.0846541616245488,0.06768238540512785,0.10256426501900558,0.0,0.15575367504027005,0.07109951341572125,422
Ni_primary_1729,Ni,primary,1729,identified_material,0.03665883945330556,0.03957460552916124,0.02249638783627082,0.058586198942467596,0.0,0.11351966132703281,0.07394505579787157,152
Ni_primary_2718,Ni,primary,2718,identified_material,0.027151265505977323,0.025258968546932853,0.015270732104273661,0.035245170872831244,0.0,0.08551318186046843,0.060254213313535566,152
Ni_primary_31415,Ni,primary,31415,identified_material,0.029504002098588847,0.0317386439932641,0.017815526686729064,0.049030342217504755,0.0,0.09207724806262503,0.060338604069360924,152
Ni_primary_57721,Ni,primary,57721,identified_material,0.02937737409570052,0.03372684232012712,0.0201906701965282,0.04993805283963292,0.0,0.10126775198919269,0.06754090966906559,152
Ni_primary_81173,Ni,primary,81173,identified_material,0.03711416466829409,0.0439289158556821,0.024048004779293766,0.06794427209816267,0.0,0.12093098915248704,0.0770020732968049,152
Ni_unit_peak_normalized_1729,Ni,unit_peak_normalized,1729,identified_material,0.030201456399192528,0.030586360058800145,0.01819178694947379,0.043177505830999094,0.0,0.11351966132703281,0.08293330126823267,152
Ni_spectrum_identified_1729,Ni,spectrum_identified,1729,spectrum,0.02314676492511137,0.02314676492511135,0.01377234728279458,0.0341048083797341,0.0,0.07869040956109455,0.05554364463598321,236
Ni_spectrum_all_1729,Ni,spectrum_all,1729,spectrum,0.03156143617756111,0.0315614361775611,0.02277622155287303,0.04164822949906125,0.0,0.08956774761036741,0.05800631143280631,446
Cu_primary_1729,Cu,primary,1729,identified_material,0.111732881505123,0.10406577038157756,0.07626440304433599,0.13396685374468223,0.0,0.19774499174132754,0.09367922135974993,155
Cu_primary_2718,Cu,primary,2718,identified_material,0.0704966951379149,0.06887889098932888,0.04658904932874384,0.09347277406235197,0.0,0.14776214326472334,0.07888325227539444,155
Cu_primary_31415,Cu,primary,31415,identified_material,0.06183411298597433,0.07876957290263605,0.05458045518213528,0.10305357259456455,0.0,0.1661282365306928,0.08735866362805676,155
Cu_primary_57721,Cu,primary,57721,identified_material,0.05100811474076597,0.050594167275370375,0.02265402483619525,0.07992257959680701,0.0,0.14155996487400557,0.0909657975986352,155
Cu_primary_81173,Cu,primary,81173,identified_material,0.06735433994911183,0.06734211120547871,0.04546410775915246,0.08901421753543985,0.0,0.15773304629468224,0.09039093508920351,155
Cu_unit_peak_normalized_1729,Cu,unit_peak_normalized,1729,identified_material,0.09119405403914586,0.09253587072204486,0.06415910128399376,0.12174512722965254,0.0,0.19774499174132754,0.10520912101928266,155
Cu_spectrum_identified_1729,Cu,spectrum_identified,1729,spectrum,0.07338517307291834,0.07338517307291831,0.0524233072338154,0.09574408712238683,0.0,0.15091693775561535,0.07753176468269703,218
Cu_spectrum_all_1729,Cu,spectrum_all,1729,spectrum,0.08140193402479759,0.08140193402479758,0.06874602252703832,0.09494907797285788,0.0,0.15330285335964003,0.07190091933484247,440
