material,split,method,role
042,fold1,crystal_RF_fwhm0.5,unused
043,fold1,crystal_RF_fwhm0.5,unused
044,fold1,crystal_RF_fwhm0.5,unused
045,fold1,crystal_RF_fwhm0.5,unused
046,fold1,crystal_RF_fwhm0.5,unused
047,fold1,crystal_RF_fwhm0.5,unused
048,fold1,crystal_RF_fwhm0.5,unused
049,fold1,crystal_RF_fwhm0.5,train
050,fold1,crystal_RF_fwhm0.5,train
051,fold1,crystal_RF_fwhm0.5,train
052,fold1,crystal_RF_fwhm0.5,train
053,fold1,crystal_RF_fwhm0.5,train
054,fold1,crystal_RF_fwhm0.5,train
055,fold1,crystal_RF_fwhm0.5,train
056,fold1,crystal_RF_fwhm0.5,train
057,fold1,crystal_RF_fwhm0.5,train
058,fold1,crystal_RF_fwhm0.5,train
059,fold1,crystal_RF_fwhm0.5,train
060,fold1,crystal_RF_fwhm0.5,train
061,fold1,crystal_RF_fwhm0.5,train
062,fold1,crystal_RF_fwhm0.5,train
063,fold1,crystal_RF_fwhm0.5,train
064,fold1,crystal_RF_fwhm0.5,train
065,fold1,crystal_RF_fwhm0.5,train
066,fold1,crystal_RF_fwhm0.5,train
001,fold2,crystal_RF_fwhm0.5,test
002,fold2,crystal_RF_fwhm0.5,unused
003,fold2,crystal_RF_fwhm0.5,test
004,fold2,crystal_RF_fwhm0.5,unused
005,fold2,crystal_RF_fwhm0.5,unused
006,fold2,crystal_RF_fwhm0.5,unused
007,fold2,crystal_RF_fwhm0.5,unused
008,fold2,crystal_RF_fwhm0.5,test
009,fold2,crystal_RF_fwhm0.5,unused
010,fold2,crystal_RF_fwhm0.5,test
011,fold2,crystal_RF_fwhm0.5,test
012,fold2,crystal_RF_fwhm0.5,unused
013,fold2,crystal_RF_fwhm0.5,unused
014,fold2,crystal_RF_fwhm0.5,unused
015,fold2,crystal_RF_fwhm0.5,unused
016,fold2,crystal_RF_fwhm0.5,unused
017,fold2,crystal_RF_fwhm0.5,unused
018,fold2,crystal_RF_fwhm0.5,unused
019,fold2,crystal_RF_fwhm0.5,unused
020,fold2,crystal_RF_fwhm0.5,unused
021,fold2,crystal_RF_fwhm0.5,unused
022,fold2,crystal_RF_fwhm0.5,unused
023,fold2,crystal_RF_fwhm0.5,unused
024,fold2,crystal_RF_fwhm0.5,test
025,fold2,crystal_RF_fwhm0.5,unused
026,fold2,crystal_RF_fwhm0.5,unused
027,fold2,crystal_RF_fwhm0.5,unused
028,fold2,crystal_RF_fwhm0.5,test
029,fold2,crystal_RF_fwhm0.5,unused
030,fold2,crystal_RF_fwhm0.5,test
031,fold2,crystal_RF_fwhm0.5,unused
032,fold2,crystal_RF_fwhm0.5,unused
033,fold2,crystal_RF_fwhm0.5,unused
034,fold2,crystal_RF_fwhm0.5,unused
035,fold2,crystal_RF_fwhm0.5,unused
036,fold2,crystal_RF_fwhm0.5,unused
037,fold2,crystal_RF_fwhm0.5,unused
038,fold2,crystal_RF_fwhm0.5,unused
039,fold2,crystal_RF_fwhm0.5,test
040,fold2,crystal_RF_fwhm0.5,unused
041,fold2,crystal_RF_fwhm0.5,unused
042,fold2,crystal_RF_fwhm0.5,test
043,fold2,crystal_RF_fwhm0.5,unused
044,fold2,crystal_RF_fwhm0.5,test
045,fold2,crystal_RF_fwhm0.5,unused
046,fold2,crystal_RF_fwhm0.5,unused
047,fold2,crystal_RF_fwhm0.5,unused
048,fold2,crystal_RF_fwhm0.5,test
049,fold2,crystal_RF_fwhm0.5,train
050,fold2,crystal_RF_fwhm0.5,train
051,fold2,crystal_RF_fwhm0.5,train
052,fold2,crystal_RF_fwhm0.5,train
053,fold2,crystal_RF_fwhm0.5,train
054,fold2,crystal_RF_fwhm0.5,train
055,fold2,crystal_RF_fwhm0.5,train
056,fold2,crystal_RF_fwhm0.5,train
057,fold2,crystal_RF_fwhm0.5,train
058,fold2,crystal_RF_fwhm0.5,train
059,fold2,crystal_RF_fwhm0.5,train
060,fold2,crystal_RF_fwhm0.5,train
061,fold2,crystal_RF_fwhm0.5,train
062,fold2,crystal_RF_fwhm0.5,train
063,fold2,crystal_RF_fwhm0.5,train
064,fold2,crystal_RF_fwhm0.5,train
065,fold2,crystal_RF_fwhm0.5,train
066,fold2,crystal_RF_fwhm0.5,train
001,fold3,crystal_RF_fwhm0.5,unused
002,fold3,crystal_RF_fwhm0.5,unused
003,fold3,crystal_RF_fwhm0.5,unused
004,fold3,crystal_RF_fwhm0.5,unused
005,fold3,crystal_RF_fwhm0.5,unused
006,fold3,crystal_RF_fwhm0.5,unused
007,fold3,crystal_RF_fwhm0.5,test
008,fold3,crystal_RF_fwhm0.5,unused
009,fold3,crystal_RF_fwhm0.5,test
010,fold3,crystal_RF_fwhm0.5,unused
011,fold3,crystal_RF_fwhm0.5,unused
012,fold3,crystal_RF_fwhm0.5,unused
013,fold3,crystal_RF_fwhm0.5,unused
014,fold3,crystal_RF_fwhm0.5,unused
015,fold3,crystal_RF_fwhm0.5,test
016,fold3,crystal_RF_fwhm0.5,test
017,fold3,crystal_RF_fwhm0.5,test
018,fold3,crystal_RF_fwhm0.5,unused
019,fold3,crystal_RF_fwhm0.5,unused
020,fold3,crystal_RF_fwhm0.5,unused
021,fold3,crystal_RF_fwhm0.5,test
022,fold3,crystal_RF_fwhm0.5,unused
023,fold3,crystal_RF_fwhm0.5,unused
024,fold3,crystal_RF_fwhm0.5,unused
025,fold3,crystal_RF_fwhm0.5,unused
026,fold3,crystal_RF_fwhm0.5,unused
027,fold3,crystal_RF_fwhm0.5,unused
028,fold3,crystal_RF_fwhm0.5,unused
029,fold3,crystal_RF_fwhm0.5,test
030,fold3,crystal_RF_fwhm0.5,unused
031,fold3,crystal_RF_fwhm0.5,test
032,fold3,crystal_RF_fwhm0.5,unused
033,fold3,crystal_RF_fwhm0.5,unused
034,fold3,crystal_RF_fwhm0.5,unused
035,fold3,crystal_RF_fwhm0.5,unused
036,fold3,crystal_RF_fwhm0.5,unused
037,fold3,crystal_RF_fwhm0.5,unused
038,fold3,crystal_RF_fwhm0.5,unused
039,fold3,crystal_RF_fwhm0.5,unused
040,fold3,crystal_RF_fwhm0.5,unused
041,fold3,crystal_RF_fwhm0.5,test
042,fold3,crystal_RF_fwhm0.5,unused
043,fold3,crystal_RF_fwhm0.5,test
044,fold3,crystal_RF_fwhm0.5,unused
045,fold3,crystal_RF_fwhm0.5,test
046,fold3,crystal_RF_fwhm0.5,unused
047,fold3,crystal_RF_fwhm0.5,test
048,fold3,crystal_RF_fwhm0.5,unused
049,fold3,crystal_RF_fwhm0.5,train
050,fold3,crystal_RF_fwhm0.5,train
051,fold3,crystal_RF_fwhm0.5,train
052,fold3,crystal_RF_fwhm0.5,train
053,fold3,crystal_RF_fwhm0.5,train
054,fold3,crystal_RF_fwhm0.5,train
055,fold3,crystal_RF_fwhm0.5,train
056,fold3,crystal_RF_fwhm0.5,train
057,fold3,crystal_RF_fwhm0.5,train
058,fold3,crystal_RF_fwhm0.5,train
059,fold3,crystal_RF_fwhm0.5,train
060,fold3,crystal_RF_fwhm0.5,train
061,fold3,crystal_RF_fwhm0.5,train
062,fold3,crystal_RF_fwhm0.5,train
063,fold3,crystal_RF_fwhm0.5,train
064,fold3,crystal_RF_fwhm0.5,train
065,fold3,crystal_RF_fwhm0.5,train
066,fold3,crystal_RF_fwhm0.5,train
001,fold0,glass_group_RF_fwhm0.5,train
002,fold0,glass_group_RF_fwhm0.5,train
003,fold0,glass_group_RF_fwhm0.5,train
004,fold0,glass_group_RF_fwhm0.5,test
005,fold0,glass_group_RF_fwhm0.5,test
006,fold0,glass_group_RF_fwhm0.5,train
007,fold0,glass_group_RF_fwhm0.5,train
008,fold0,glass_group_RF_fwhm0.5,train
009,fold0,glass_group_RF_fwhm0.5,train
010,fold0,glass_group_RF_fwhm0.5,train
011,fold0,glass_group_RF_fwhm0.5,train
012,fold0,glass_group_RF_fwhm0.5,test
013,fold0,glass_group_RF_fwhm0.5,train
014,fold0,glass_group_RF_fwhm0.5,test
015,fold0,glass_group_RF_fwhm0.5,train
016,fold0,glass_group_RF_fwhm0.5,train
017,fold0,glass_group_RF_fwhm0.5,train
018,fold0,glass_group_RF_fwhm0.5,train
019,fold0,glass_group_RF_fwhm0.5,train
020,fold0,glass_group_RF_fwhm0.5,train
021,fold0,glass_group_RF_fwhm0.5,train
022,fold0,glass_group_RF_fwhm0.5,test
023,fold0,glass_group_RF_fwhm0.5,train
024,fold0,glass_group_RF_fwhm0.5,train
025,fold0,glass_group_RF_fwhm0.5,test
026,fold0,glass_group_RF_fwhm0.5,test
027,fold0,glass_group_RF_fwhm0.5,train
028,fold0,glass_group_RF_fwhm0.5,train
029,fold0,glass_group_RF_fwhm0.5,train
030,fold0,glass_group_RF_fwhm0.5,train
031,fold0,glass_group_RF_fwhm0.5,train
032,fold0,glass_group_RF_fwhm0.5,train
033,fold0,glass_group_RF_fwhm0.5,test
034,fold0,glass_group_RF_fwhm0.5,train
035,fold0,glass_group_RF_fwhm0.5,train
036,fold0,glass_group_RF_fwhm0.5,test
037,fold0,glass_group_RF_fwhm0.5,test
038,fold0,glass_group_RF_fwhm0.5,train
039,fold0,glass_group_RF_fwhm0.5,train
040,fold0,glass_group_RF_fwhm0.5,test
041,fold0,glass_group_RF_fwhm0.5,train
042,fold0,glass_group_RF_fwhm0.5,train
043,fold0,glass_group_RF_fwhm0.5,train
044,fold0,glass_group_RF_fwhm0.5,train
045,fold0,glass_group_RF_fwhm0.5,train
046,fold0,glass_group_RF_fwhm0.5,test
047,fold0,glass_group_RF_fwhm0.5,train
048,fold0,glass_group_RF_fwhm0.5,train
049,fold0,glass_group_RF_fwhm0.5,unused
050,fold0,glass_group_RF_fwhm0.5,unused
051,fold0,glass_group_RF_fwhm0.5,unused
052,fold0,glass_group_RF_fwhm0.5,unused
053,fold0,glass_group_RF_fwhm0.5,unused
054,fold0,glass_group_RF_fwhm0.5,unused
055,fold0,glass_group_RF_fwhm0.5,unused
056,fold0,glass_group_RF_fwhm0.5,unused
057,fold0,glass_group_RF_fwhm0.5,unused
058,fold0,glass_group_RF_fwhm0.5,unused
059,fold0,glass_group_RF_fwhm0.5,unused
060,fold0,glass_group_RF_fwhm0.5,unused
061,fold0,glass_group_RF_fwhm0.5,unused
062,fold0,glass_group_RF_fwhm0.5,unused
063,fold0,glass_group_RF_fwhm0.5,unused
064,fold0,glass_group_RF_fwhm0.5,unused
065,fold0,glass_group_RF_fwhm0.5,unused
066,fold0,glass_group_RF_fwhm0.5,unused
001,fold1,glass_group_RF_fwhm0.5,train
002,fold1,glass_group_RF_fwhm0.5,test
003,fold1,glass_group_RF_fwhm0.5,train
004,fold1,glass_group_RF_fwhm0.5,train
005,fold1,glass_group_RF_fwhm0.5,train
006,fold1,glass_group_RF_fwhm0.5,test
007,fold1,glass_group_RF_fwhm0.5,train
008,fold1,glass_group_RF_fwhm0.5,train
009,fold1,glass_group_RF_fwhm0.5,train
010,fold1,glass_group_RF_fwhm0.5,train
011,fold1,glass_group_RF_fwhm0.5,train
012,fold1,glass_group_RF_fwhm0.5,train
013,fold1,glass_group_RF_fwhm0.5,test
014,fold1,glass_group_RF_fwhm0.5,train
015,fold1,glass_group_RF_fwhm0.5,train
016,fold1,glass_group_RF_fwhm0.5,train
017,fold1,glass_group_RF_fwhm0.5,train
018,fold1,glass_group_RF_fwhm0.5,test
019,fold1,glass_group_RF_fwhm0.5,test
020,fold1,glass_group_RF_fwhm0.5,test
021,fold1,glass_group_RF_fwhm0.5,train
022,fold1,glass_group_RF_fwhm0.5,train
023,fold1,glass_group_RF_fwhm0.5,test
024,fold1,glass_group_RF_fwhm0.5,train
025,fold1,glass_group_RF_fwhm0.5,train
026,fold1,glass_group_RF_fwhm0.5,train
027,fold1,glass_group_RF_fwhm0.5,test
028,fold1,glass_group_RF_fwhm0.5,train
029,fold1,glass_group_RF_fwhm0.5,train
030,fold1,glass_group_RF_fwhm0.5,train
031,fold1,glass_group_RF_fwhm0.5,train
032,fold1,glass_group_RF_fwhm0.5,test
033,fold1,glass_group_RF_fwhm0.5,train
034,fold1,glass_group_RF_fwhm0.5,test
035,fold1,glass_group_RF_fwhm0.5,test
036,fold1,glass_group_RF_fwhm0.5,train
037,fold1,glass_group_RF_fwhm0.5,train
038,fold1,glass_group_RF_fwhm0.5,test
039,fold1,glass_group_RF_fwhm0.5,train
040,fold1,glass_group_RF_fwhm0.5,train
041,fold1,glass_group_RF_fwhm0.5,train
042,fold1,glass_group_RF_fwhm0.5,train
043,fold1,glass_group_RF_fwhm0.5,train
044,fold1,glass_group_RF_fwhm0.5,train
045,fold1,glass_group_RF_fwhm0.5,train
046,fold1,glass_group_RF_fwhm0.5,train
047,fold1,glass_group_RF_fwhm0.5,train
048,fold1,glass_group_RF_fwhm0.5,train
049,fold1,glass_group_RF_fwhm0.5,unused
050,fold1,glass_group_RF_fwhm0.5,unused
051,fold1,glass_group_RF_fwhm0.5,unused
052,fold1,glass_group_RF_fwhm0.5,unused
053,fold1,glass_group_RF_fwhm0.5,unused
054,fold1,glass_group_RF_fwhm0.5,unused
055,fold1,glass_group_RF_fwhm0.5,unused
056,fold1,glass_group_RF_fwhm0.5,unused
057,fold1,glass_group_RF_fwhm0.5,unused
058,fold1,glass_group_RF_fwhm0.5,unused
059,fold1,glass_group_RF_fwhm0.5,unused
060,fold1,glass_group_RF_fwhm0.5,unused
061,fold1,glass_group_RF_fwhm0.5,unused
062,fold1,glass_group_RF_fwhm0.5,unused
063,fold1,glass_group_RF_fwhm0.5,unused
064,fold1,glass_group_RF_fwhm0.5,unused
065,fold1,glass_group_RF_fwhm0.5,unused
066,fold1,glass_group_RF_fwhm0.5,unused
001,fold2,glass_group_RF_fwhm0.5,test
002,fold2,glass_group_RF_fwhm0.5,train
003,fold2,glass_group_RF_fwhm0.5,test
004,fold2,glass_group_RF_fwhm0.5,train
005,fold2,glass_group_RF_fwhm0.5,train
006,fold2,glass_group_RF_fwhm0.5,train
007,fold2,glass_group_RF_fwhm0.5,train
008,fold2,glass_group_RF_fwhm0.5,test
009,fold2,glass_group_RF_fwhm0.5,train
010,fold2,glass_group_RF_fwhm0.5,test
011,fold2,glass_group_RF_fwhm0.5,test
012,fold2,glass_group_RF_fwhm0.5,train
013,fold2,glass_group_RF_fwhm0.5,train
014,fold2,glass_group_RF_fwhm0.5,train
015,fold2,glass_group_RF_fwhm0.5,train
016,fold2,glass_group_RF_fwhm0.5,train
017,fold2,glass_group_RF_fwhm0.5,train
018,fold2,glass_group_RF_fwhm0.5,train
019,fold2,glass_group_RF_fwhm0.5,train
020,fold2,glass_group_RF_fwhm0.5,train
021,fold2,glass_group_RF_fwhm0.5,train
022,fold2,glass_group_RF_fwhm0.5,train
023,fold2,glass_group_RF_fwhm0.5,train
024,fold2,glass_group_RF_fwhm0.5,test
025,fold2,glass_group_RF_fwhm0.5,train
026,fold2,glass_group_RF_fwhm0.5,train
027,fold2,glass_group_RF_fwhm0.5,train
028,fold2,glass_group_RF_fwhm0.5,test
029,fold2,glass_group_RF_fwhm0.5,train
030,fold2,glass_group_RF_fwhm0.5,test
031,fold2,glass_group_RF_fwhm0.5,train
032,fold2,glass_group_RF_fwhm0.5,train
033,fold2,glass_group_RF_fwhm0.5,train
034,fold2,glass_group_RF_fwhm0.5,train
035,fold2,glass_group_RF_fwhm0.5,train
036,fold2,glass_group_RF_fwhm0.5,train
037,fold2,glass_group_RF_fwhm0.5,train
038,fold2,glass_group_RF_fwhm0.5,train
039,fold2,glass_group_RF_fwhm0.5,test
040,fold2,glass_group_RF_fwhm0.5,train
041,fold2,glass_group_RF_fwhm0.5,train
042,fold2,glass_group_RF_fwhm0.5,test
043,fold2,glass_group_RF_fwhm0.5,train
044,fold2,glass_group_RF_fwhm0.5,test
045,fold2,glass_group_RF_fwhm0.5,train
046,fold2,glass_group_RF_fwhm0.5,train
047,fold2,glass_group_RF_fwhm0.5,train
048,fold2,glass_group_RF_fwhm0.5,test
049,fold2,glass_group_RF_fwhm0.5,unused
050,fold2,glass_group_RF_fwhm0.5,unused
051,fold2,glass_group_RF_fwhm0.5,unused
052,fold2,glass_group_RF_fwhm0.5,unused
053,fold2,glass_group_RF_fwhm0.5,unused
054,fold2,glass_group_RF_fwhm0.5,unused
055,fold2,glass_group_RF_fwhm0.5,unused
056,fold2,glass_group_RF_fwhm0.5,unused
057,fold2,glass_group_RF_fwhm0.5,unused
058,fold2,glass_group_RF_fwhm0.5,unused
059,fold2,glass_group_RF_fwhm0.5,unused
060,fold2,glass_group_RF_fwhm0.5,unused
061,fold2,glass_group_RF_fwhm0.5,unused
062,fold2,glass_group_RF_fwhm0.5,unused
063,fold2,glass_group_RF_fwhm0.5,unused
064,fold2,glass_group_RF_fwhm0.5,unused
065,fold2,glass_group_RF_fwhm0.5,unused
066,fold2,glass_group_RF_fwhm0.5,unused
001,fold3,glass_group_RF_fwhm0.5,train
002,fold3,glass_group_RF_fwhm0.5,train
003,fold3,glass_group_RF_fwhm0.5,train
004,fold3,glass_group_RF_fwhm0.5,train
005,fold3,glass_group_RF_fwhm0.5,train
006,fold3,glass_group_RF_fwhm0.5,train
007,fold3,glass_group_RF_fwhm0.5,test
008,fold3,glass_group_RF_fwhm0.5,train
009,fold3,glass_group_RF_fwhm0.5,test
010,fold3,glass_group_RF_fwhm0.5,train
011,fold3,glass_group_RF_fwhm0.5,train
012,fold3,glass_group_RF_fwhm0.5,train
013,fold3,glass_group_RF_fwhm0.5,train
014,fold3,glass_group_RF_fwhm0.5,train
015,fold3,glass_group_RF_fwhm0.5,test
016,fold3,glass_group_RF_fwhm0.5,test
017,fold3,glass_group_RF_fwhm0.5,test
018,fold3,glass_group_RF_fwhm0.5,train
019,fold3,glass_group_RF_fwhm0.5,train
020,fold3,glass_group_RF_fwhm0.5,train
021,fold3,glass_group_RF_fwhm0.5,test
022,fold3,glass_group_RF_fwhm0.5,train
023,fold3,glass_group_RF_fwhm0.5,train
024,fold3,glass_group_RF_fwhm0.5,train
025,fold3,glass_group_RF_fwhm0.5,train
026,fold3,glass_group_RF_fwhm0.5,train
027,fold3,glass_group_RF_fwhm0.5,train
028,fold3,glass_group_RF_fwhm0.5,train
029,fold3,glass_group_RF_fwhm0.5,test
030,fold3,glass_group_RF_fwhm0.5,train
031,fold3,glass_group_RF_fwhm0.5,test
032,fold3,glass_group_RF_fwhm0.5,train
033,fold3,glass_group_RF_fwhm0.5,train
034,fold3,glass_group_RF_fwhm0.5,train
035,fold3,glass_group_RF_fwhm0.5,train
036,fold3,glass_group_RF_fwhm0.5,train
037,fold3,glass_group_RF_fwhm0.5,train
038,fold3,glass_group_RF_fwhm0.5,train
039,fold3,glass_group_RF_fwhm0.5,train
040,fold3,glass_group_RF_fwhm0.5,train
041,fold3,glass_group_RF_fwhm0.5,test
042,fold3,glass_group_RF_fwhm0.5,train
043,fold3,glass_group_RF_fwhm0.5,test
044,fold3,glass_group_RF_fwhm0.5,train
045,fold3,glass_group_RF_fwhm0.5,test
046,fold3,glass_group_RF_fwhm0.5,train
047,fold3,glass_group_RF_fwhm0.5,test
048,fold3,glass_group_RF_fwhm0.5,train
049,fold3,glass_group_RF_fwhm0.5,unused
050,fold3,glass_group_RF_fwhm0.5,unused
051,fold3,glass_group_RF_fwhm0.5,unused
052,fold3,glass_group_RF_fwhm0.5,unused
053,fold3,glass_group_RF_fwhm0.5,unused
054,fold3,glass_group_RF_fwhm0.5,unused
055,fold3,glass_group_RF_fwhm0.5,unused
056,fold3,glass_group_RF_fwhm0.5,unused
057,fold3,glass_group_RF_fwhm0.5,unused
058,fold3,glass_group_RF_fwhm0.5,unused
059,fold3,glass_group_RF_fwhm0.5,unused
060,fold3,glass_group_RF_fwhm0.5,unused
061,fold3,glass_group_RF_fwhm0.5,unused
062,fold3,glass_group_RF_fwhm0.5,unused
063,fold3,glass_group_RF_fwhm0.5,unused
064,fold3,glass_group_RF_fwhm0.5,unused
065,fold3,glass_group_RF_fwhm0.5,unused
066,fold3,glass_group_RF_fwhm0.5,unused
001,fold0,hybrid_RF_fwhm0.5,train
002,fold0,hybrid_RF_fwhm0.5,train
003,fold0,hybrid_RF_fwhm0.5,train
004,fold0,hybrid_RF_fwhm0.5,test
005,fold0,hybrid_RF_fwhm0.5,test
006,fold0,hybrid_RF_fwhm0.5,train
007,fold0,hybrid_RF_fwhm0.5,train
008,fold0,hybrid_RF_fwhm0.5,train
009,fold0,hybrid_RF_fwhm0.5,train
010,fold0,hybrid_RF_fwhm0.5,train
011,fold0,hybrid_RF_fwhm0.5,train
012,fold0,hybrid_RF_fwhm0.5,test
013,fold0,hybrid_RF_fwhm0.5,train
014,fold0,hybrid_RF_fwhm0.5,test
015,fold0,hybrid_RF_fwhm0.5,train
016,fold0,hybrid_RF_fwhm0.5,train
017,fold0,hybrid_RF_fwhm0.5,train
018,fold0,hybrid_RF_fwhm0.5,train
019,fold0,hybrid_RF_fwhm0.5,train
020,fold0,hybrid_RF_fwhm0.5,train
021,fold0,hybrid_RF_fwhm0.5,train
022,fold0,hybrid_RF_fwhm0.5,test
023,fold0,hybrid_RF_fwhm0.5,train
024,fold0,hybrid_RF_fwhm0.5,train
025,fold0,hybrid_RF_fwhm0.5,test
026,fold0,hybrid_RF_fwhm0.5,test
027,fold0,hybrid_RF_fwhm0.5,train
028,fold0,hybrid_RF_fwhm0.5,train
029,fold0,hybrid_RF_fwhm0.5,train
030,fold0,hybrid_RF_fwhm0.5,train
031,fold0,hybrid_RF_fwhm0.5,train
032,fold0,hybrid_RF_fwhm0.5,train
033,fold0,hybrid_RF_fwhm0.5,test
034,fold0,hybrid_RF_fwhm0.5,train
035,fold0,hybrid_RF_fwhm0.5,train
036,fold0,hybrid_RF_fwhm0.5,test
037,fold0,hybrid_RF_fwhm0.5,test
038,fold0,hybrid_RF_fwhm0.5,train
039,fold0,hybrid_RF_fwhm0.5,train
040,fold0,hybrid_RF_fwhm0.5,test
041,fold0,hybrid_RF_fwhm0.5,train
042,fold0,hybrid_RF_fwhm0.5,train
043,fold0,hybrid_RF_fwhm0.5,train
044,fold0,hybrid_RF_fwhm0.5,train
045,fold0,hybrid_RF_fwhm0.5,train
046,fold0,hybrid_RF_fwhm0.5,test
047,fold0,hybrid_RF_fwhm0.5,train
048,fold0,hybrid_RF_fwhm0.5,train
049,fold0,hybrid_RF_fwhm0.5,train
050,fold0,hybrid_RF_fwhm0.5,train
051,fold0,hybrid_RF_fwhm0.5,train
052,fold0,hybrid_RF_fwhm0.5,train
053,fold0,hybrid_RF_fwhm0.5,train
054,fold0,hybrid_RF_fwhm0.5,train
055,fold0,hybrid_RF_fwhm0.5,train
056,fold0,hybrid_RF_fwhm0.5,train
